"","s02_t1_post","s02_t2_post","s03_t1_post","s03_t2_post","s05_t1_post","s05_t2_post","s08_t1_post","s08_t2_post","s11_t1_post","s11_t2_post","s13_t1_post","s13_t2_post","s14_t1_post","s14_t2_post","s15_t1_post","s15_t2_post","s16_t1_post","s16_t2_post","s17_t1_post","s17_t2_post","s18_t1_post","s18_t2_post","s20_t1_post","s20_t2_post","s21_t1_post","s21_t2_post","s22_t1_post","s22_t2_post","s23_t1_post","s23_t2_post","s24_t1_post","s24_t2_post","s25_t1_post","s25_t2_post","s26_t1_post","s26_t2_post","s27_t1_post","s27_t2_post","s28_t1_post","s28_t2_post","s29_t1_post","s29_t2_post","s30_t1_post","s30_t2_post","s31_t1_post","s31_t2_post"
"IGKV3-7",-1.0390908010798,0.592182733692699,-0.424644169307099,-0.4641514570492,0.7501754794408,-0.682710329317599,-0.2271328896193,-1.1968960878728,0.622726983255999,1.1039294450033,-0.109547086467201,-0.0528536531616997,0.500882337046701,-0.294805807807499,0.674437466760899,0.00692981697410033,0.6251701104781,-0.5241790563915,0.6371460302238,2.3932831773124,0.547808198021899,-0.540144750991999,0.182321997684999,0.584876095315,-0.638491284966001,-0.7089780677465,-0.00342042279770105,-0.0115085503834997,0.1991539262869,0.123658521786199,0.698677868496,-0.00273778479090048,-0.802588828588901,0.461913519746,-0.7779174448356,-0.901975945344301,-1.3890099243834,-0.705568586865699,1.091528913058,-1.1255895718124,0.7025717603301,0.0424412862523003,-2.0706872222342,2.7885790716348,0.156659407620701,0.0745575637323999
"IGKV2-28",-1.5024317595727,NA,0.139957286228999,-0.5927191775198,1.1710432550179,0.642334521092501,-1.2596349911727,0.433601512008501,-0.114263352680599,0.901603503305299,0.130304383845399,2.49618871212647,0.7493412734123,2.6957780708569,0.990297542914101,0.5266635332781,-0.1896565314953,0.1268755003502,0.742629219130201,NA,0.6765690957651,NA,0.3270831664223,NA,-0.1807707679231,-0.9627395952354,0.6814307136619,NA,-0.082028777476399,1.1707502371399,0.4569855659926,0.801358964125098,-0.710915964090699,NA,-0.8638443900659,NA,-0.104391631905299,NA,0.931532768691099,NA,-1.5079374020481,NA,-0.614350376651199,NA,1.3832543841971,NA
"GATD3B",0.1908849170213,0.3242396057215,0.4786656761644,0.4861857813165,0.141823309726,0.220378866934698,0.1049139103398,0.2768473132847,0.490809668836999,0.675517310485599,-0.3632153263395,0.3029091852055,-0.174778301824102,0.159934721487,0.368276506424703,-0.0679423043306997,-0.0430922590409999,0.391019800098,0.354829070627101,0.555258162487,0.536267231092097,0.7023803284676,0.621890367299699,0.5375187725435,0.1327802553464,0.4025152283604,0.0102248498644002,-0.1004361489542,0.101796998999003,0.00494531910289808,0.0219552359758985,0.274411893710601,0.289246099980101,0.580174688528301,0.282122850225299,-0.120430959926701,0.171996700061399,0.3166644320409,0.252538168841898,0.1538201852486,-0.629943664929501,-0.183864220822299,0.1873686604008,-0.1033774149276,0.1019807782105,-0.427376255458
"IGHV1-18",0.718639607318801,NA,-0.0352171844773004,-0.5224181351222,NA,-0.7695388017311,-0.125444420888901,NA,-0.544983269454701,NA,-0.504819047083901,0.427481260294501,0.000745214494898505,-0.5060130378821,-0.072560442859599,0.829430234367601,-0.4419927811814,-0.4497539689355,NA,NA,1.003320389902,NA,NA,-0.2026522614655,NA,-0.1993834337833,-0.5070365284242,0.745361981074,-0.2869224615572,-0.177847297374399,0.5420184750229,0.749939808233799,-0.407955194525101,NA,-0.5372684482367,-0.538058928757799,-0.738671635552501,0.1973670319242,NA,-1.1000913905132,0.7469701904283,-0.0761372674640004,-1.1735030419762,1.987359213296,NA,0.293866925263099
"IGHV4-61",NA,NA,NA,-0.51266810272363,NA,NA,0.805238857613519,-1.28539760183215,0.843303782304309,-1.4757949097619,NA,NA,0.368392374828249,0.38077428256592,0.79883543360587,-1.20689597655627,-0.837362456742399,-1.27132133223208,NA,NA,0.5097469829774,NA,NA,NA,NA,NA,NA,NA,-0.239086767190459,NA,0.423210418787601,-0.0736948636095089,-1.21942275158868,-0.2666822564761,NA,NA,NA,NA,NA,0.0670100517486389,0.84242589227689,0.53154358337853,NA,2.32950636602598,NA,1.181314069848
"UBA6",0.9250099065474,-0.468640289410301,-0.0398106638060991,0.285199256891401,0.034978583667499,0.5654752627247,0.7416413926885,-0.0295664918157001,0.1418778385317,0.186269549512399,-0.0501831010617995,0.5242707128878,-0.0108487639703991,0.0944758001972001,-0.0609941549124997,-0.4242316289266,0.3451259447396,-0.00711419004440117,0.2924490721296,-0.249110328203599,-0.452472001151301,0.427688201395,0.127326357641,0.2334062876436,-0.0363342652124992,-0.1362435008789,-0.907625766770769,0.164470319438399,-0.235579089329699,-0.4966940007929,0.476801218381171,0.257404900495501,0.000716212829100726,0.3005540165751,-0.0742275104970993,0.230051068592601,0.149133111780399,NA,-0.104360795611299,1.3620215854077,-0.0720534184600989,-0.2001126685168,NA,-0.546004856216101,-0.300825484587399,-0.0683830527375999
"ESYT2",0.0604527778453008,0.0626845124270989,0.0161669975459002,-1.3744919709062,-0.0954322888290005,0.0973874402246988,-0.0529646844733005,-0.1099831758695,-0.1213127438283,0.0158365054803014,0.613815408097599,-0.159891122227,-0.1265555215302,0.472442409382401,-0.00909107460099889,-0.429586965838199,-0.041033755219301,-0.0193833757441997,-0.2032974364342,-1.294621772428,-0.0868369790445005,-0.0197567940215002,-0.494214829520201,-0.00369911469259954,0.1809785260536,0.7652868779236,0.036100015767401,0.372367810739101,0.223004207134499,0.227964555773299,-0.206148676597499,0.322682791943899,-0.1453032250642,-0.010308372211,0.246826574701901,0.105684335773299,0.3738602949485,-0.203598151864201,-0.1938441230217,-0.127783789139299,-0.346019318981501,0.494522824784301,-0.825596460322,-0.0866873785941991,0.186251415653199,0.0298181265380002
"TMEM223",-0.7870037806246,-0.7453511543688,-0.209729864352399,-0.3428811142398,-0.245939823007401,0.369230623702801,NA,0.322266292873401,0.5093174084419,0.0569452694144008,0.301988320638401,-0.2317338137447,0.1798450280547,0.7470221720619,-0.0375780448478,-0.363250804012701,-0.0103513490394995,0.2305921980875,0.2007310071959,NA,-0.3615710275428,0.200802941852,0.3088252459061,-0.3295347774019,-0.1360844227609,0.0142295788986999,0.011694646026001,0.0916569661702997,-0.3207243376969,0.4838115654718,-0.3363803489961,0.0380079079993987,-0.316848357786899,0.326951834323701,-0.154928470347599,0.0320952122594012,NA,-0.1177117578452,NA,-0.4370702899148,NA,0.261708889108,0.258102969382399,-0.761260558029699,0.387826401291299,0.3726628619147
"ARHGAP10",NA,NA,-0.0878232409814999,-0.544202278511449,NA,0.279219879046799,0.270907674368621,-0.88095084977366,NA,NA,NA,-0.2044092805248,NA,NA,0.3186986489929,0.152764680480349,0.28486337533989,NA,-0.429700073628799,-0.419864056377101,NA,-0.31545324232944,-0.80742767463205,-0.43162372301447,-0.49655582519185,NA,NA,NA,NA,NA,0.10876186865738,0.408345675610921,0.52528971654192,-0.7396861755426,-0.778975615201411,-0.27816207231302,-0.324888988247901,NA,0.52256809059948,NA,0.372179659441999,NA,NA,NA,-0.39382500847055,NA
"ILVBL",0.0813925609551003,-0.521513629086101,-0.393716808229399,-0.133522204044699,0.252051468342499,-0.0390977367201,0.3316692750724,-0.363252486266399,0.238638126767899,-0.0568444155964016,0.2882354879756,0.394656133217701,-0.0572507478975002,0.212363674902099,0.1428013567227,0.261728911084401,0.0085377712217003,0.356477401493999,-0.0903809481362998,0.146229469132599,0.4224324675903,0.171585598862199,0.4054537110104,0.112510296620599,0.265775641944499,-0.00450067569879842,0.7458160610647,-0.2054170151438,0.327416740342299,0.0952273806818997,-0.3891479411856,0.703136418628,-0.0586569384762008,-0.469620252095499,-0.177034268761901,-0.146146437752,-0.164268964547599,NA,-0.1280782582706,0.484819786567199,0.405793783321,0.0410841259320005,0.324131611564901,0.1205611218376,0.159633749179299,0.479925047150999
