"","protein","cor","p_value"
"IGKV3-7","IGKV3-7",-0.242449568843901,0.112809359291387
"IGKV2-28","IGKV2-28",0.0204452340578775,0.908629139212439
"GATD3B","GATD3B",-0.0312520583117587,0.840398410177917
"IGHV1-18","IGHV1-18",-0.264967399266288,0.129914764250675
"IGHV4-61","IGHV4-61",-0.208296905030257,0.260810361009892
"UBA6","UBA6",0.17615672443198,0.258492192392672
"ESYT2","ESYT2",-0.0714439361946387,0.644904651732788
"TMEM223","TMEM223",0.192293506462009,0.228403558060429
"ARHGAP10","ARHGAP10",0.200300577148363,0.263718456126272
"ILVBL","ILVBL",0.0638096037599073,0.680706130318549
"FSD2","FSD2",0.178444197074917,0.246488980649246
"NBAS","NBAS",-0.0904454283718612,0.628472149216828
"VWA8","VWA8",0.0210754002004706,0.8919882418768
"XIRP2","XIRP2",0.0413498300801096,0.789852994895304
"POTEF","POTEF",0.04016578745489,0.795740147052279
"FITM1","FITM1",-0.0653765894837823,0.677032135639623
"VPS37C","VPS37C",-0.00500576331886679,0.975544305006281
"CARNS1","CARNS1",0.277352717986157,0.0683442560114981
"MAP1LC3B2","MAP1LC3B2",-0.0489206026117037,0.75249626260406
"PGP","PGP",0.18518435194325,0.228800827069846
"CASTOR2","CASTOR2",0.0351778466285797,0.870372233612644
"LRRC14B","LRRC14B",0.357253591248928,0.0201990553453821
"ASB14","ASB14",0.00944095695745722,0.95707369813294
"COL6A6","COL6A6",-0.158486812554276,0.47012611222721
"DHRS7C","DHRS7C",0.241450812678996,0.114345669120185
"MYH7B","MYH7B",0.172054942963897,0.338347406961884
"SMTNL1","SMTNL1",0.0391959279444186,0.800570743174497
"SNRPGP15","SNRPGP15",-0.186016867471703,0.244241005440768
"NUDT19","NUDT19",0.291788397085416,0.0546260382986247
"PRR33","PRR33",0.0720519502038429,0.646125505159825
"MIF4GD","MIF4GD",0.242337659370655,0.142670285198814
"HACD1","HACD1",0.170194287753152,0.269366321924473
"C4orf54","C4orf54",0.263684979138143,0.193057281052394
"PROB1","PROB1",0.0469646423906992,0.762098001601475
"NACA","NACA",0.157951242624071,0.305828875680631
"PTGES3L","PTGES3L",0.0372603029368221,0.826694903485486
"MIEF1","MIEF1",0.258007196034316,0.112781678489054
"AGPS","AGPS",0.0925611042169207,0.575177700034234
"PDLIM1","PDLIM1",-0.165762108843242,0.282218818941615
"MYO1C","MYO1C",-0.133449233250214,0.387812880886
"SNAP23","SNAP23",0.0700941322414615,0.651180017296105
"HAX1","HAX1",-0.129554631144024,0.407664392011503
"AIP","AIP",-0.154792936082877,0.414071261615033
"STXBP3","STXBP3",0.145083555553255,0.347394672574955
"SMAP","SMAP",-0.515544419298775,0.0083484207145226
"NDUFS8","NDUFS8",-0.112167550862545,0.468508320725908
"PSMD11","PSMD11",0.326286921287859,0.0306505918792315
"PSMD12","PSMD12",0.0398353054729665,0.79738534683358
"PSMD9","PSMD9",-0.0365629755607452,0.8137213621723
"ATOX1","ATOX1",0.146257751022587,0.343464402850301
"PGRMC1","PGRMC1",-0.241509007226526,0.123357689639826
"DFFA","DFFA",-0.0684102862636731,0.69618137826224
"CLIC1","CLIC1",-0.0174118937077531,0.913955458236019
"EIF3F","EIF3F",0.146158892246632,0.343794243811051
"PDHX","PDHX",0.147987783302609,0.337723738811953
"IPO5","IPO5",0.247037159617336,0.105953293889709
"EEF2K","EEF2K",0.209855308038662,0.171553590306915
"EML1","EML1",0.137054543919359,0.375002652698548
"DNM1L","DNM1L",0.0287546119829116,0.853006494480924
"RTCA","RTCA",0.0686010278798713,0.658149438998283
"AGRN","AGRN",0.194464614539771,0.223092786769064
"NDUFA4","NDUFA4",-0.0133793177394477,0.931309642612316
"PSMD14","PSMD14",0.124124596321394,0.422114603672327
"BIN1","BIN1",-0.00826947892051894,0.957512610477829
"KPNA3","KPNA3",0.135901934029405,0.37907036424799
"SDCBP","SDCBP",-0.0271710985159041,0.873170982202872
"DDX3X","DDX3X",-0.153710876488938,0.319159702704329
"KPNA4","KPNA4",-0.0444524548195019,0.774482018876615
"PPP6C","PPP6C",0.0162766085126123,0.923826514878434
"CES2","CES2",-0.134515550328186,0.383997598915036
"FBP2","FBP2",0.0681828886269012,0.660106378875781
"ACACB","ACACB",0.111174887424138,0.472478255907151
"PDXK","PDXK",0.113757387479853,0.462187380054485
"TXNDC9","TXNDC9",-0.244168635357492,0.139584015491244
"COX7A2L","COX7A2L",0.148377836623064,0.417676890896212
"HSPB6","HSPB6",-0.0320154819661474,0.836552060281261
"NDUFAB1","NDUFAB1",-0.0198414054590032,0.89827831770418
"UBFD1","UBFD1",0.0416647158263129,0.806577062571719
"COPE","COPE",-0.17040811000259,0.274601083936965
"EIF1AY","EIF1AY",0.0168232283733419,0.929689659992765
"CCS","CCS",-0.0146017784059747,0.925050521109386
"ABLIM1","ABLIM1",0.16533022926718,0.374094116868216
"CHD2","CHD2",0.179968248355054,0.279609389051075
"IMPA2","IMPA2",-0.0430257586709416,0.781539943432131
"PDCD5","PDCD5",-0.0819516020336018,0.596911666055612
"PRMT5","PRMT5",0.101002881153136,0.514168152156014
"TPP1","TPP1",0.142423574233299,0.356399640212211
"TCERG1","TCERG1",-0.0359198217649246,0.853240862605234
"NRP1","NRP1",0.228612041198074,0.431789206299988
"PSMA7","PSMA7",0.156339658914663,0.310852815293803
"PHYH","PHYH",-0.0836649561845992,0.697516560639481
"OPLAH","OPLAH",-0.0195239732218592,0.89989738606167
"BCKDK","BCKDK",0.0634865000105944,0.682237440414741
"MGST3","MGST3",0.00170165876475373,0.99125330554247
"IKBKB","IKBKB",0.0664601962404323,0.708817716791545
"TIMM23","TIMM23",-0.0392255025055466,0.852321060118048
"UQCRQ","UQCRQ",0.0951959442715301,0.538767183467472
"MYL12B","MYL12B",-0.277518699140605,0.0681723268136547
"UQCR11","UQCR11",0.116964976668383,0.449575341630145
"CASQ2","CASQ2",-0.206564164658433,0.178525991195891
"HGS","HGS",-0.245945045475298,0.116408422675203
"PPP1R12A","PPP1R12A",0.324896557474474,0.0650621245308094
"HNRNPDL","HNRNPDL",-0.0983772044622594,0.525220763976205
"XPO1","XPO1",-0.0553096426944608,0.721395855916432
"ATP2A1","ATP2A1",0.138482045006118,0.370001014990826
"MAST4","MAST4",-0.195621700892986,0.408494108556307
"SYNM","SYNM",-0.0402316342176913,0.795412454106233
"PFAS","PFAS",-0.0311920195175419,0.840701060090112
"LSM1","LSM1",0.0713203410074351,0.65355274300994
"ARPC1B","ARPC1B",-0.11174179748468,0.498248010663892
"ARPC2","ARPC2",-0.200761114754603,0.191310675058006
"ARPC3","ARPC3",0.17447851315507,0.257316614134902
"PGRMC2","PGRMC2",-0.0687594601711529,0.657408546008493
"PFDN6","PFDN6",-0.102737851439919,0.506929442284279
"LAMA5","LAMA5",-0.000389435464064122,0.998022487737823
"NDUFA1","NDUFA1",-0.0543293081811879,0.72614058720327
"RER1","RER1",0.0458961250769827,0.772874770024914
"SURF4","SURF4",0.223986574330505,0.16470474311088
"TCAP","TCAP",-0.0406093837257858,0.793533219892931
"INPP4B","INPP4B",0.0167744373341899,0.940937737394345
"EIF3D","EIF3D",0.0342099405059506,0.825516992178016
"EIF3H","EIF3H",0.179958488508826,0.242436865071207
"BCAT2","BCAT2",-0.245776034027136,0.107805445473513
"STX7","STX7",-0.0505766478954383,0.7566141896289
"SLC16A3","SLC16A3",0.231855749578532,0.134640743075389
"YKT6","YKT6",0.0871895838587496,0.613109539374263
"DDX3Y","DDX3Y",0.0139534531186698,0.928369478844573
"DHX15","DHX15",-0.0153124690835768,0.928326632064591
"CYB5B","CYB5B",-0.164155766730903,0.286974218618969
"NDUFS4","NDUFS4",-0.0196076021088548,0.899470796320494
"DYNC1LI2","DYNC1LI2",-0.118013744735662,0.445492844583299
"PSMD3","PSMD3",0.316124960528669,0.0365717857274044
"ZW10","ZW10",0.118298957122972,0.444386142446948
"TGFB1I1","TGFB1I1",-0.0934644295176433,0.561084554771379
"SRGAP3","SRGAP3",-0.0515557929857902,0.745747107559973
"HSPA12A","HSPA12A",-0.055982977219107,0.71814294050932
"RASA4","RASA4",-0.264013234128256,0.125390361762606
"HNRNPR","HNRNPR",0.138989820228296,0.380027749629429
"TXNL1","TXNL1",0.0535830734155733,0.729759108463074
"TPD52L2","TPD52L2",-0.177272395548834,0.249655839081898
"EMC8","EMC8",0.0221358317726075,0.914525000896602
"ERI3","ERI3",-0.0295701050381239,0.850695253926365
"PPIH","PPIH",-0.0234918889686129,0.879689905913857
"HTRA2","HTRA2",-0.0951085972741877,0.539141490526784
"AKR7A2","AKR7A2",-0.051804234832485,0.738408058370811
"EPB41L2","EPB41L2",0.102746032742488,0.589001266441501
"LAMTOR5","LAMTOR5",0.00356656237648956,0.981668717076055
"DENR","DENR",-0.0589060691125923,0.714487218254686
"DNPH1","DNPH1",-0.0445933765122683,0.77378583708198
