"","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","protein","q","qiao","-log10p","regulated_xiao","regulated_qiao","regulated_q"
"MYH7B",5.54565158501701,15.56357739828,11.76989495149,7.45146298774658e-10,4.95955513277459e-08,12.7698715090025,2.40232563906796e-51,"MYH7B",2.03903797382733e-08,3.43772798950625e-49,9.1277584513955,"+","+","+"
"MYH2",5.43481978747726,18.7355958818488,27.9469457239336,9.38889574375708e-20,5.37420392372655e-17,35.2768776616343,3.8867702580719e-104,"MYH2",2.20951387497527e-17,5.56196823930089e-101,19.0273854834095,"+","+","+"
"MYH1",5.37629350894376,16.539596368686,14.3049380801606,3.29837807318694e-13,4.10432958498305e-11,20.1772672671044,7.84728899080047e-68,"MYH1",1.6874263228931e-11,1.40368381822943e-65,12.4816995652809,"+","+","+"
"MYBPC2",5.26345308815417,16.2000061868546,32.4234996125399,2.94996063174647e-21,8.44278732805839e-18,38.6220483064728,8.71647289231653e-109,"MYBPC2",3.47111051414572e-18,2.49465454178099e-105,20.5301837797945,"+","+","+"
"TNNC2",5.12433941131385,16.5473849448918,26.6744863423128,2.76380566036186e-19,1.31833529999261e-16,34.2201875309585,7.94301673648405e-96,"TNNC2",5.42011464124629e-17,7.57763796660578e-93,18.5584924980561,"+","+","+"
"TNNI2",4.96073709927633,17.3210490200618,22.3663033607134,1.5869890259204e-17,3.49381737860322e-15,30.2119931071336,4.59688687466655e-84,"TNNI2",1.43642446103918e-15,1.87947003361366e-81,16.7994260763949,"+","+","+"
"TNNT3",4.58272805813196,18.8218922230844,24.538345734747,1.89628129006007e-18,6.03017450239103e-16,32.3223639770997,6.08762272359374e-82,"TNNT3",2.47920518474041e-16,1.93586402610281e-79,17.7220972399622,"+","+","+"
"ZC3H8",4.50920194097873,14.195444250425,22.3135357387288,7.50570310064224e-13,8.59252890961523e-11,19.4205379441328,2.12662680050625e-55,"ZC3H8",3.53267425582845e-11,3.38133661280493e-53,12.1246086187536,"+","+","+"
"MYL11",4.283539482259,18.6652502932529,28.7558031067969,4.84067664837781e-20,3.46350414191432e-17,35.9224178822863,1.83245180507878e-83,"MYL11",1.42396168180525e-17,6.55559633266933e-81,19.3150939267612,"+","+","+"
"GCC2",3.89378620799834,14.9959998803108,10.4716166966293,2.93295371991806e-08,1.14987856800075e-06,9.38713799520211,4.66978534852419e-30,"GCC2",4.72753301994654e-07,5.14035602595239e-28,7.53269478984685,"+","+","+"
"DNAH7",3.54535670301109,14.459875072624,12.4418447570526,6.31725622144068e-12,6.23447838129766e-10,17.1670428987209,1.96733635818746e-40,"DNAH7",2.56320130054884e-10,2.44805072049239e-38,11.1994715082091,"+","+","+"
"MYH4",3.31925910092378,17.6950493295626,8.88476428123276,4.89942652170771e-09,2.46002784300482e-07,10.3686879108222,2.61480309121005e-28,"MYH4",1.01139921913786e-07,2.67270230251541e-26,8.3098547512028,"+","+","+"
"ATP2A1",2.94197098689547,18.5243119696018,23.7878573733706,3.87157579536793e-18,1.00731362966755e-15,31.6151783243019,5.94389305908699e-52,"ATP2A1",4.14140116897319e-16,8.95337996584578e-50,17.4121122339627,"+","+","+"
"ACTN3",2.62469717825517,16.5329474304996,5.10378924797339,3.24127610667935e-05,0.000466157397855091,1.43568156543371,1.64812074443825e-12,"ACTN3",0.000191652801624429,9.24886582467109e-11,4.48928397220759,"+","+","+"
"GTPBP3",2.43131379494026,19.4273994131943,5.60227482562609,4.08040299163241e-05,0.000553465088248908,1.84759832216369,2.12932421574226e-11,"GTPBP3",0.000227547895308075,1.10802289190079e-09,4.38929694269459,"+","+","+"
