"","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","protein","q","qiao","-log10p","regulated_xiao","regulated_qiao","regulated_q"
"MYH7B",2.94356328573694,13.3430309681504,3.41286394811458,0.00435734046996589,0.123253393590958,-1.83388403279391,1.12434364417902e-07,"MYH7B",0.0941969806281969,0.000161399530121898,2.36077850422526,"+","+",""
"KRT16",1.63498583634381,17.2944867466716,4.04828164756547,0.000478448687665986,0.0795779264890259,-0.0168832145495896,3.72887522962199e-06,"KRT16",0.0608178012915073,0.00267640019606118,3.32016463230398,"+","+",""
"KRT6A",1.4545938651372,16.3379183954629,3.9635859754906,0.000591809505782238,0.0795779264890259,-0.207111480716685,2.01760268521014e-05,"KRT6A",0.0608178012915073,0.00827505329891188,3.22781806338016,"+","+",""
"KRT6C",1.4446567080916,15.2182288223035,3.97586269951998,0.000657652817868238,0.0795779264890259,-0.280629965303369,2.52986627861268e-05,"KRT6C",0.0608178012915073,0.00907905760737125,3.18200331470832,"+","+",""
"KRT71",1.40425548843686,12.527629646341,3.22080649489911,0.00370185414148916,0.117687798161724,-1.84091420696721,0.000384981145618199,"KRT71",0.0899434483759993,0.085292991350502,2.43158069708888,"+","",""
"MYBPH",1.33626305272816,14.6991714519593,3.41222851723696,0.00232470376593262,0.0996152912237693,-1.42803892844001,0.000302534115287178,"MYBPH",0.0761314506991875,0.085292991350502,2.63363238084607,"+","",""
"KRT6B",1.27393695181292,16.7738959621669,3.46297175406838,0.00205287173769799,0.0949975067857168,-1.31742015422747,0.000376806515701658,"KRT6B",0.0726022874154567,0.085292991350502,2.68763818426318,"+","",""
"KRT14",1.21340476560373,18.0185577924828,3.53073686788715,0.00173772925851618,0.0891687799214718,-1.16902171869955,0.000447693865319466,"KRT14",0.0681476557373995,0.0918092205237277,2.76001788651318,"+","",""
"THY1",1.20781143220671,11.8991696258158,5.90277989483112,4.61592388529946e-06,0.00587842001924094,4.11135282908759,3.59277967125119e-07,"THY1",0.00449260990341984,0.000343829014538739,5.335741361132,"+","+","+"
"POSTN",1.14624302842059,10.3611927885736,1.86392033973549,0.0812475229645875,0.400105726297308,-4.23371609939584,0.0562830288836903,"POSTN",0.305782666514936,0.999999994254479,1.09018987070859,"","",""
"KRT17",1.11993173458421,14.7486481298331,3.7977653651309,0.000896056157036591,0.0795779264890259,-0.577984461009733,0.000386209992182698,"KRT17",0.0608178012915073,0.085292991350502,3.0476647716695,"+","",""
"KRT5",1.04338261825314,17.6359445137632,2.99861803342446,0.00629541052297643,0.141641941561741,-2.30970566316976,0.00505289131017957,"KRT5",0.108250514137651,0.659402315978434,2.20097594434084,"+","",""
"JUP",1.0291386374708,15.3201248127657,3.0772632153662,0.00522319354650218,0.133505230427718,-2.14521104647674,0.00448167012421634,"JUP",0.102031994722174,0.612708329839291,2.28206388099423,"+","",""
"S100A13",1.01886207022241,13.1164706668365,5.78618224333673,6.14254965437925e-06,0.00587842001924094,3.86012596281116,4.89830859804851e-06,"S100A13",0.00449260990341984,0.00281260879699946,5.21165132413795,"+","+","+"
"CSTA",0.998686772267458,13.4308191894639,3.50267640172375,0.00186203500133487,0.0917382681000975,-1.23056080607662,0.00187746983497537,"CSTA",0.0701113990562215,0.299456438678572,2.73001215968995,"+","",""
"SBSN",0.994645136937805,12.5455655598883,3.70449241529695,0.00113032631580406,0.0810344902481059,-0.785437405608915,0.00117215090905271,"SBSN",0.0619309869345179,0.210327828743145,2.94679616121144,"+","",""
"CTNNB1",0.989014791113826,13.9865478749899,3.25683642001485,0.00339318107268782,0.114406480422724,-1.76377992260328,0.00361188432751603,"CTNNB1",0.087435685997291,0.545774731805185,2.4693929641772,"+","",""
"FLG",0.9776214967301,14.3514580264249,3.6427743776641,0.00131743234620047,0.0810344902481059,-0.922150779197645,0.001528215117042,"FLG",0.0619309869345179,0.258088564766329,2.88027167776719,"+","",""
"DSP",0.975663488040968,12.9819564208376,2.53499971098881,0.0183001405237021,0.218103461577569,-3.23981813434537,0.0201715942275152,"DSP",0.166686587254114,0.999999994254479,1.73754557538246,"+","",""
"UBE2D3",0.962606393154308,13.2258702243154,2.62747839148408,0.014867923023907,0.20230240285136,-3.06040163277602,0.017401891538856,"UBE2D3",0.154610554462049,0.999999994254479,1.82774969605485,"+","",""
"RALB",0.948030245803652,10.3680364937583,2.46611598782916,0.0276110494460381,0.259846415763418,-3.41082873939223,0.0332735739562144,"RALB",0.198588834585798,0.999999994254479,1.55891708629946,"+","",""
"FLG2",0.927196590376621,11.5923405009369,2.75765884757769,0.0131411123934618,0.190523737751277,-2.8314224308982,0.0180136668063667,"FLG2",0.145608654750137,0.999999994254479,1.88136787024853,"+","",""
"CDSN",0.926166352653519,11.414122100958,3.08549337632511,0.00592840942403985,0.140083260675018,-2.18740359667887,0.00865705716607517,"CDSN",0.107059285003795,0.999999994254479,2.2270618110238,"+","",""
"KRT9",0.91999401551195,20.0210226403545,2.96568718755089,0.00680439048758288,0.145786605148138,-2.37807627100312,0.0101432950876001,"KRT9",0.111418092604934,0.999999994254479,2.16721077122991,"+","",""
"LIPE",0.846078626976729,10.383402512715,4.49999960071096,0.000184754030717224,0.0597074666993733,0.843226847431032,0.000693816959778626,"LIPE",0.0456317097661817,0.132796566101629,3.73340607797155,"+","","+"
"DSC1",0.843243313701134,16.5107461060713,2.79805120352798,0.0100647530609616,0.177275497165771,-2.72106127654539,0.020695555504402,"DSC1",0.135483625122701,0.999999994254479,1.99719687607362,"+","",""
"KRT1",0.842347332017383,20.2068525961548,2.98588775485465,0.00648769487029637,0.141808355110795,-2.33617265888697,0.014355561999007,"KRT1",0.108377696468293,0.999999994254479,2.18790958408401,"+","",""
"KRT2",0.80191029870597,18.3633329275276,2.44323652683287,0.0224235792642759,0.24021677637215,-3.41438580290518,0.0475787800950481,"KRT2",0.183586791172582,0.999999994254479,1.64929506387948,"+","",""
"DSG1",0.799761278843842,16.8711633293753,2.68423323600799,0.0130706187066978,0.190486021862585,-2.94865802856783,0.031152047509867,"DSG1",0.145579830206383,0.999999994254479,1.88370385430583,"+","",""
"CASP14",0.791372747105378,14.7330022016765,3.75460060084195,0.000997842338420387,0.0795779264890259,-0.674107350657138,0.00421831874994088,"CASP14",0.0608178012915073,0.605539656554014,3.0009380729041,"+","",""
"S100A16",0.791123559633357,12.6528079018162,3.18586168802623,0.0040270606992704,0.121702013343214,-1.91544714522744,0.012742355584292,"S100A16",0.0930113310417138,0.999999994254479,2.39501182428889,"+","",""
"INTU",0.769683661687683,12.5613144620369,2.58656385029484,0.0173705058497771,0.21056450144954,-3.13549801970155,0.0441786472274513,"INTU",0.160924901831533,0.999999994254479,1.76018753419723,"+","",""
"AKAP12",0.759785421553172,11.7615523172221,1.41393944753551,0.18603460654924,0.55188471122121,-4.70817009452041,0.278642893899175,"AKAP12",0.421780463298464,0.999999994254479,0.730406259892931,"","",""
"KRT10",0.741736719338679,18.9375857956443,2.57889294126783,0.016588012364035,0.207965866799757,-3.15508390917922,0.0478141127940434,"KRT10",0.158938883186256,0.999999994254479,1.78020564960232,"+","",""
"SERPINH1",0.728871259531612,11.7792349049698,7.24877565137771,1.90364114056874e-07,0.000546535371457286,6.87000368150427,1.26381269673553e-05,"SERPINH1",0.000417692205446609,0.00604734375387953,6.72041491801022,"+","+","+"
"EPS15L1",0.726605158291429,10.1600799380712,2.59781807787506,0.0169499783061644,0.209755981538784,-3.11024016078343,0.0516779369252811,"EPS15L1",0.160306986720621,0.999999994254479,1.77083085330274,"","",""
"CALML5",0.717042376932833,9.82106813022148,3.32521892116746,0.00385427032919201,0.11884139114868,-1.77934423194249,0.0185788246916449,"CALML5",0.0908250871940406,0.999999994254479,2.41405782824851,"+","",""
"LAMP1",0.71515695750737,10.5146401740725,3.21460861857139,0.00595214509126025,0.140083260675018,-2.10437880091056,0.0256178263430102,"LAMP1",0.107059285003795,0.999999994254479,2.2253264908416,"+","",""
"FTL",0.706909326159273,12.340295363764,2.77653264612935,0.0105775838849828,0.179729727951964,-2.76443538375549,0.0401254925514562,"FTL",0.137359282442055,0.999999994254479,1.97561352183305,"+","",""
"NCSTN",0.664538920226795,11.7449452972856,2.97839899251537,0.00660342019633574,0.14254450664421,-2.35172079744928,0.0355755482234359,"NCSTN",0.108940303709459,0.999999994254479,2.18023106632783,"+","",""
"S100A7",0.656725588883752,15.9845635255919,1.70190876698574,0.10190390864107,0.434719348749648,-4.66939549482311,0.223179112784364,"S100A7",0.332236288834135,0.999999994254479,0.991809157812088,"","",""
"PPP4R1",0.64271494308203,10.2141650817126,3.82624916098573,0.000943859607132141,0.0795779264890259,-0.600654333803084,0.0113691443919843,"PPP4R1",0.0608178012915073,0.999999994254479,3.02509259932711,"+","",""
"BGN",0.641707323386152,13.4144046408393,3.7683793841933,0.000964172173592074,0.0795779264890259,-0.643444873837049,0.0116067309233399,"BGN",0.0608178012915073,0.999999994254479,3.01584540659062,"+","",""
"PSMB8",0.624046770352498,10.6668631327805,3.41046704800813,0.00283307254452411,0.111009757838377,-1.54233196643253,0.0257092639506968,"PSMB8",0.0848397249275376,0.999999994254479,2.54774230465954,"+","",""
"SLC25A6",0.585093081832014,14.2315582731314,2.46413748924307,0.0214150010871266,0.232232406829879,-3.37493948225605,0.105515122903304,"SLC25A6",0.17748469952878,0.999999994254479,1.66928189922057,"","",""
"RBP1",0.573526831085681,11.7612929453758,2.54031458117241,0.0192038421032142,0.224457900948976,-3.22141964325479,0.103627979846406,"RBP1",0.17154299716651,0.999999994254479,1.71661187352065,"","",""
"TIMMDC1",0.557597270414764,10.0848009251277,2.75639818800612,0.0113435863856539,0.181700062203998,-2.80713085931533,0.0822875483203505,"TIMMDC1",0.138865119579375,0.999999994254479,1.94524961728997,"","",""
"FABP5",0.554493997855102,15.2899965153749,2.77708186283979,0.0105641928918652,0.179729727951964,-2.76333029648028,0.0802101081643697,"FABP5",0.137359282442055,0.999999994254479,1.97616367759879,"","",""
"SERPINB9",0.546542553545155,11.5937375075645,3.04494550788618,0.00564069547505471,0.139024626691249,-2.21300866660307,0.0590211417635991,"SERPINB9",0.106250219046614,0.999999994254479,2.24866734595326,"","",""
"RHAG",0.544123276022452,13.6984362103921,1.11659681528654,0.303082854525536,0.654994297443857,-4.7293117920409,0.522282499231654,"RHAG",0.500582445240068,0.999999994254479,0.518438631087216,"","",""
"FCGRT",0.538775009795017,10.3145130440452,3.75174806058511,0.00112938513612145,0.0810344902481059,-0.759947868245993,0.0258312222542553,"FCGRT",0.0619309869345179,0.999999994254479,2.94715793232688,"+","",""
"PRRC1",0.537607618761211,10.4400562322506,3.49217307918282,0.00310903914803037,0.112277806822463,-1.57358408107703,0.0448762684150799,"PRRC1",0.0858088372749509,0.999999994254479,2.50737380942464,"+","",""
"CTSH",0.532985630956981,11.7830809175081,2.20120906362249,0.0377476250973915,0.296102272280358,-3.85656201083363,0.174382389020344,"CTSH",0.22629754194455,0.999999994254479,1.42311036693659,"","",""
"CREG1",0.523247227676325,12.477948567171,1.90551805654479,0.0689591922117411,0.378454098563605,-4.35576362978465,0.246772391783267,"CREG1",0.289235309085013,0.999999994254479,1.16140783448088,"","",""
"LMNB1",0.522986379050682,10.4423901705813,3.13432167462572,0.00489202776918087,0.128853318580902,-2.05293793945618,0.0618919510195934,"LMNB1",0.0984767494072023,0.999999994254479,2.31051108639295,"","",""
"MYL6B",0.515559042130196,16.8839403664986,2.06666279993575,0.0499002597513823,0.333649735687289,-4.08972360507658,0.213203892722818,"MYL6B",0.254993365890123,0.999999994254479,1.30189719368927,"","",""
"MCM7",0.511087723394402,12.7622449879798,1.16316081516121,0.301369271712695,0.654486519733092,-4.67285410728115,0.541718762565076,"MCM7",0.500194373757484,0.999999994254479,0.520901031404072,"","",""
"FMC1",0.50111693822155,12.1922938157753,2.849323441684,0.00971862824453099,0.176543656147713,-2.63454653481406,0.0980741976910927,"FMC1",0.134924312212991,0.999999994254479,2.01239503012235,"","",""
"MYO1B",0.496834383506769,9.38967515914994,3.65284562892335,0.00173927261428158,0.0891687799214718,-1.1035094751096,0.0425519794003731,"MYO1B",0.0681476557373995,0.999999994254479,2.75963234117206,"+","",""
"ARG1",0.495319865182363,12.8817635022523,2.70709947757689,0.0124059405634524,0.185507579987875,-2.90330080289827,0.113693835579181,"ARG1",0.141775032795392,0.999999994254479,1.90637030385995,"","",""
"TIMM8B",0.492046668618148,11.8155688265674,3.48164830270646,0.00196083944743548,0.0922880336653648,-1.27659494008939,0.0465323647150053,"TIMM8B",0.0705315599523458,0.999999994254479,2.70755796469395,"+","",""
"C8A",0.489233639366246,11.6619686495419,2.30115994797526,0.0305276708974923,0.269328364779533,-3.67733036549777,0.181409977718252,"C8A",0.205835458323824,0.999999994254479,1.51530632884751,"","",""
"CTNND1",0.486477952109579,9.96446624044616,2.18873076207867,0.0441838259246436,0.31398951541993,-3.79934222778104,0.219255488623729,"CTNND1",0.239967950899794,0.999999994254479,1.35473668081361,"","",""
"CASP3",0.484403014253589,12.5863408127031,3.8796708646751,0.000776792898433857,0.0795779264890259,-0.438944431940762,0.0311640927350305,"CASP3",0.0608178012915073,0.999999994254479,3.1096947534722,"+","",""
"SERPINB3",0.481897418098422,13.2413802787805,1.58045313710799,0.127306326214208,0.466174508817521,-4.84352829979583,0.370364642410672,"SERPINB3",0.356276041552048,0.999999994254479,0.895150014479441,"","",""
"C4orf54",0.480767517308495,10.4642416875736,1.3000637477606,0.221102116165465,0.589396105932771,-4.82776297704674,0.484062629175955,"C4orf54",0.450448721575458,0.999999994254479,0.655407100774582,"","",""
"RNF7",0.480617675223588,10.412537445547,2.14919950375472,0.0457829713996607,0.319552384127655,-3.88659347905558,0.227148910656028,"RNF7",0.244219399242367,0.999999994254479,1.33929602423031,"","",""
"TBCE",0.474403601046539,11.8972644847059,3.79525073504241,0.000901694604404061,0.0795779264890259,-0.583589529915622,0.0359309953473308,"TBCE",0.0608178012915073,0.999999994254479,3.04494052906574,"+","",""
"UBL4A",0.47229547624821,9.19806412489806,1.41564809238137,0.236995750843271,0.602991923356582,-4.49545642292141,0.50663220700614,"UBL4A",0.460839388421885,0.999999994254479,0.625259440495648,"","",""
"SEPTIN7",0.464311011322712,11.0695334997114,4.32035530274373,0.000261681847068083,0.0702339153900308,0.530198957430238,0.0217136501317969,"SEPTIN7",0.0536765972496718,0.999999994254479,3.58222640342662,"+","",""
"MRC2",0.463863107550246,10.1637480980243,1.64562061113374,0.119818924753574,0.458056102486698,-4.52955992387541,0.37373342151463,"MRC2",0.350071511667749,0.999999994254479,0.92147458205566,"","",""
