"","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","protein","q","qiao","-log10p","regulated_xiao","regulated_qiao","regulated_q"
"TNNI2",6.58933316066224,16.7371213651809,43.4843424946001,3.50754347169488e-25,2.51052423986561e-22,47.7023997104882,7.20904496556153e-162,"TNNI2",8.57959663122598e-23,6.87983191213422e-159,24.4549969377194,"+","+","+"
"TNNC2",6.34121322969118,16.0939931785712,49.8358739396409,1.18342651035309e-26,1.69407504957045e-23,50.9873316789552,3.91075462980234e-165,"TNNC2",5.78942053517742e-24,5.59824525256204e-162,25.9268587061667,"+","+","+"
"MYH2",6.26478660339803,18.2131253217434,46.0275837167996,8.54876194078042e-26,8.15836847881811e-23,49.0778789766102,8.98924342297841e-158,"MYH2",2.78808344511005e-23,6.43405097999679e-155,25.0680967766426,"+","+","+"
"TNNT3",6.04354522468386,18.6734346405035,61.0545546467241,7.48617031807229e-29,2.1432905620641e-25,55.7654429301924,1.04909916318007e-170,"TNNT3",7.32459308459332e-26,3.00357090418455e-167,28.1257402964632,"+","+","+"
"MYBPC2",5.95680107702556,16.035510174668,40.908884813559,1.59430082906991e-24,5.70560409203393e-22,46.2170529187772,1.75164044923159e-142,"MYBPC2",1.94986293578842e-22,1.00298932123001e-139,23.7974297280602,"+","+","+"
"MYH1",5.60144510082231,16.1999227922259,12.965579525045,1.23670014015479e-12,5.62011508137008e-11,18.4381283676651,1.9928417704631e-67,"MYH1",1.92064747487984e-11,2.85275299441793e-65,11.9077355899932,"+","+","+"
"MYL11",5.05933717686468,18.3357289021334,32.3510246349704,5.22861927633196e-22,1.15150284524141e-19,40.455681303388,2.13375359106969e-108,"MYL11",3.93520595220751e-20,6.10893653123251e-106,21.2816129803176,"+","+","+"
"GCC2",4.80420086646921,15.0774186179825,7.13918840933614,4.75101437932626e-06,3.14864679815071e-05,3.98058271812214,2.66816292690054e-26,"GCC2",1.07603499832292e-05,2.38717201866133e-24,5.32321365515171,"+","+","+"
"GTPBP3",4.60071933513215,19.105552811357,8.17043763229546,3.96662437616241e-07,3.81088778152784e-06,6.26496084790436,3.53290590756807e-30,"GTPBP3",1.30235269005516e-06,3.37156987112246e-28,6.40157892357013,"+","+","+"
"DNAH7",4.38887049507182,14.7329456058213,11.0991862841487,3.51022500132750e-11,1.1291881099776e-09,15.0004629743087,1.30565684137852e-46,"DNAH7",3.85894641069184e-10,1.69913433493941e-44,10.4546650448723,"+","+","+"
"MYH4",3.20416447661276,17.4688457880732,11.8966598792291,8.02859336106541e-12,2.94690548624747e-10,16.516004725673,2.80957033549402e-36,"MYH4",1.00709086894551e-10,3.09376918096899e-34,11.0953605380388,"+","+","+"
"ATP2A1",3.12091841709684,18.3408762426299,36.4152475006455,2.83473746843255e-23,7.37804852011126e-21,43.3685229144833,4.27692934571671e-71,"ATP2A1",2.52141282776688e-21,6.44465721936154e-69,22.5474871559212,"+","+","+"
"TIMM10B",3.07030951679267,11.1257737338286,14.6421925058939,2.40351483274156e-10,6.1993360055307e-09,14.0231524649087,2.92565025129563e-30,"TIMM10B",2.11859345806342e-09,2.88832298946876e-28,9.61915319337809,"+","+","+"
"MYH7B",2.71139588296591,16.0412492488352,4.04870656692715,0.000620556600568274,0.00222081693428371,-1.71970460734603,2.01354198874662e-09,"MYH7B",0.000758953575726881,5.01284409894049e-08,3.20721860063839,"+","+","+"
"ACTN3",2.55662507411635,16.9563789590492,6.04728765947066,2.50431349854019e-06,1.83372111159094e-05,3.5759237765856,4.78131182501513e-15,"ACTN3",6.26665427952838e-06,2.20788641209973e-13,5.60131130558787,"+","+","+"
"C8A",2.31667889896758,12.5258405825477,22.227650717206,4.78043884528593e-18,6.84319820702681e-16,31.215968606367,7.4797736632165e-41,"C8A",2.33863028890579e-16,8.56583679911553e-39,17.3205322332335,"+","+","+"
"DMTN",2.22156816626812,12.0364125964867,6.07501747168978,7.42688819498215e-06,4.68352002251848e-05,2.79523919319396,4.02854166269718e-12,"DMTN",1.60057058877989e-05,1.356907621212e-10,5.12919311394192,"+","+","+"
"LDHA",1.98032834221971,19.9391708108207,13.6544985052292,3.93378240234247e-13,2.08563315146417e-11,19.6151519276353,2.71425916042942e-25,"LDHA",7.12755163886928e-12,2.22026399323127e-23,12.405189666805,"+","+","+"
"MMGT1",1.86239214680963,11.7370926395348,9.45211998136521,1.72218871658791e-07,1.8606136964495e-06,7.44623180983663,2.52888970006742e-13,"MMGT1",6.35855840329412e-07,9.65361494839069e-12,6.76391926050018,"+","+","+"
"PDLIM7",1.81228666941686,16.6198107198226,15.9021080104968,1.25316706724332e-14,9.96615920421564e-13,23.1552961940677,6.39156167381579e-26,"PDLIM7",3.40588728748253e-13,5.54516396125291e-24,13.9019910267351,"+","+","+"
"MYL4",1.78706811163267,13.8243355720488,11.9162963417983,7.74903968551402e-12,2.88123384670476e-10,16.5524186479514,1.39421322877389e-20,"MYL4",9.84647899925702e-11,9.50388684280868e-19,11.110752114929,"+","+","+"
"DNAH10",1.77893567915488,14.523217063391,13.4602032897442,5.40916706761188e-13,2.76543666331657e-11,19.2878827764158,1.50670416436313e-22,"DNAH10",9.45074765807868e-12,1.13518263751886e-20,12.2668696047252,"+","+","+"
"NUP62",1.70681043309582,11.6709889333032,12.9356553356776,2.38995076107906e-12,1.03673167105596e-10,17.8290098780958,1.45919393688079e-20,"NUP62",3.54298094845448e-11,9.7155168402086e-19,11.6216110465046,"+","+","+"
"INTU",1.6830635151765,13.3812640048896,8.17793216952241,2.04411557640753e-08,2.97071212957094e-07,8.52658200708924,1.14312117264254e-13,"INTU",1.01522667554779e-07,4.57632542516544e-12,7.6894945523842,"+","+","+"
"MYL1",1.51773862531998,20.4389499786978,20.2949454481048,4.18771497550582e-17,5.44973998857871e-15,28.9988126543541,1.38816810316781e-25,"MYL1",1.86242260100903e-15,1.16891919981454e-23,16.378022884963,"+","+","+"
"GBF1",1.39820670603929,12.0604349775224,6.88863098110065,4.88681698123384e-07,4.49870000555386e-06,5.33227490000346,1.49952577623335e-09,"GBF1",1.53740923109399e-06,3.8331627654965e-08,6.31097392565949,"+","+","+"
"KIAA1191",1.39104727822613,10.7993727188503,9.84640444983033,1.05379212777716e-08,1.72400392104343e-07,9.67712377015238,8.00340852113199e-12,"KIAA1191",5.89170102336729e-08,2.63376535586217e-10,7.97724505009395,"+","+","+"
"ENO3",1.38476190159847,19.0754474834517,16.2348065868574,7.78553416772057e-15,6.36856694919542e-13,23.6439125890443,2.90264361351968e-20,"ENO3",2.17642732443719e-13,1.88869742397883e-18,14.1087115850053,"+","+","+"
"S100A13",1.3688094729594,13.7273694572697,9.87154245994673,3.93166256193717e-10,9.45911757548412e-09,12.5201810531144,1.33587817973329e-13,"S100A13",3.23260823362288e-09,5.16840436294111e-12,9.4054237629094,"+","+","+"
"IPO9",1.34336744680903,10.7609385856966,4.09982825422206,0.00122758476192805,0.00399837903686007,-1.38781236500853,0.000122892825885047,"IPO9",0.00136642693068941,0.00120082648637846,2.9109485111262,"+","+","+"
"PPP1R14C",1.33340202172333,12.531522382721,6.86437408080165,2.62951612416327e-06,1.90589991480492e-05,4.1404920340884,3.62619505439047e-08,"PPP1R14C",6.51332189064605e-06,7.36297619909214e-07,5.58012416175348,"+","+","+"
"ENAH",1.33272837428994,12.3476670349131,5.90096790213503,4.25241137194496e-06,2.90542633501491e-05,3.08363960869628,6.94112422223404e-08,"ENAH",9.92915567208527e-06,1.31605553961961e-06,5.37136472911489,"+","+","+"
"PGK2",1.32720716507366,15.5592748010494,14.0691948408166,2.01653970717777e-13,1.17823534319387e-11,20.3017408450793,1.41443551455119e-17,"PGK2",4.02656298662093e-12,7.94025270227463e-16,12.6953932219884,"+","+","+"
"AK1",1.31957547564445,18.5649537006222,19.0140163620741,1.95774273809822e-16,2.33542394132301e-14,27.4204153641725,1.86976038032899e-21,"AK1",7.98119972764412e-15,1.30563999241022e-19,15.7082443782964,"+","+","+"
"TAPT1",1.30003592000541,13.3415833447008,6.46826902211326,4.22343969907115e-06,2.89275307618199e-05,3.52336261245456,1.03079698855674e-07,"TAPT1",9.88584541558066e-06,1.91634531054412e-06,5.37433370215556,"+","+","+"
"CD38",1.26157300252126,11.2748857802538,16.652058077314,4.33474402798364e-15,3.7607188339749e-13,24.244906341955,7.58544149458527e-19,"CD38",1.28520769194749e-13,4.62066361680801e-17,14.3630365430589,"+","+","+"
"NIBAN1",1.256802994491,12.0941657641912,11.2240155552772,1.31717025411389e-10,3.62601772839238e-09,13.8501946361409,3.8224021032874e-13,"NIBAN1",1.23917423274695e-09,1.40301759252716e-11,9.88035808559759,"+","+","+"
"PGK1",1.25534755284032,19.7728829645641,18.6625411566772,3.03712767561422e-16,3.34434482126289e-14,26.9706306722614,3.31205822403685e-20,"PGK1",1.14291386263218e-14,2.10720504342611e-18,15.5175369507063,"+","+","+"
"GPD2",1.25169912675418,12.8858319868388,15.7223589049063,1.62625350798366e-14,1.16587816840007e-12,22.8877388281157,5.50245334678273e-18,"GPD2",3.98433293221682e-13,3.15070478636779e-16,13.7888117536148,"+","+","+"
"IGFN1",1.22719117959999,12.6878587962404,4.31815418678807,0.000329857999634326,0.00127970543387133,-1.10809260818839,5.33730018993385e-05,"IGFN1",0.000437333217304118,0.000574462046758669,3.48167297905384,"+","+","+"
"PVALB",1.19381559514253,11.5164432453144,3.71574355296689,0.00204266564364716,0.0062006441350315,-2.46309291766635,0.000614994979250615,"PVALB",0.00211904050506978,0.00470783589731153,2.68980271560091,"+","+","+"
"EIF1AY",1.16277944447396,9.93204554672689,4.00649360421074,0.00074582021458321,0.00261356581927996,-1.86390949764545,0.000230974095211775,"EIF1AY",0.000893173630531529,0.00209265453984592,3.12736584977202,"+","+","+"
"PHKG1",1.15963423030056,15.1198252012303,13.9772976638266,2.33526235025818e-13,1.31440376117757e-11,20.1509711327964,2.24848329858814e-15,"PHKG1",4.49191204864588e-12,1.05531273505866e-13,12.6316643224344,"+","+","+"
"SYNRG",1.1581807572311,16.1154120960991,8.64492578032936,5.30901328359808e-09,9.38253396971685e-08,9.85199630417584,2.60657503072398e-10,"SYNRG",3.20643615228567e-08,7.31629834604191e-09,8.27498618801614,"+","+","+"
"UCHL5",1.15003312016235,8.69781191035593,3.07894966380774,0.00808890888080752,0.0202976727540285,-3.78704889050494,0.00392648681734735,"UCHL5",0.00693663267682738,0.022895176696671,2.09211005675647,"+","+","+"
"ENPP4",1.14436955042529,11.0900607403492,6.79999908855622,4.78833095595397e-07,4.42225533125684e-06,5.30360261764121,5.85861809175297e-08,"ENPP4",1.5112846289229e-06,1.13332591869519e-06,6.31981584001641,"+","+","+"
"XIRP2",1.14246777220247,15.3340354659497,3.75983614428322,0.000909295499409609,0.00308449409337643,-2.31941026504073,0.000335288396777925,"XIRP2",0.00105411111800241,0.00286546471634388,3.04129495846337,"+","+","+"
"PHKB",1.12486035056052,13.9970131450427,13.1489998562419,9.07601840525488e-13,4.33077344904078e-11,18.7560653551709,2.84651818121013e-14,"PHKB",1.48002113279664e-11,1.18109877576878e-12,12.0421046320806,"+","+","+"
"ATP2B2",1.11522718667337,11.4950638394831,8.09869324465736,4.4541732228462e-07,4.16741762647342e-06,6.04747032330139,8.25909390620505e-08,"ATP2B2",1.42419506098523e-06,1.54547619957288e-06,6.35123289725632,"+","+","+"
"FBP2",1.10619922129858,16.9990657180872,10.4929913222883,1.13124418942008e-10,3.20668526169277e-09,13.7987584416672,9.93691997628434e-12,"FBP2",1.09586936591753e-09,3.19656201034855e-10,9.94644363851317,"+","+","+"
"PFKM",1.09399865749642,18.1634238097098,16.9590290669146,2.83956486977641e-15,2.62247555553867e-13,24.678926623146,1.21864438652979e-16,"PFKM",8.9621849032521e-14,6.01548082523241e-15,14.5467482054225,"+","+","+"
"TRDN",1.07913164358389,12.2429490516084,5.88504329715013,5.22332997960517e-06,3.42205806215323e-05,2.92390443861081,1.99512432717954e-06,"TRDN",1.16947199137504e-05,3.05456735225402e-05,5.28205253709717,"+","+","+"
"UNC45B",1.05532160190194,14.2018049299833,16.2538425547988,7.57822182754947e-15,6.36856694919542e-13,23.6716142342875,1.25430270226354e-15,"UNC45B",2.17642732443719e-13,5.98511439430085e-14,14.1204326863307,"+","+","+"
"GPD1",1.02841309740674,17.5749363430544,15.7791913489457,1.49723102069901e-14,1.1280453716477e-12,22.9726085338797,6.06018596219128e-15,"GPD1",3.85504115705202e-13,2.71098631402401e-13,13.8247111834419,"+","+","+"
"SRGAP3",1.0264543562516,9.96504996187069,8.67609052240763,6.95243774441626e-09,1.19908610013637e-07,9.63185945744549,4.22986101449059e-09,"SRGAP3",4.0978194521757e-08,1.01765479701568e-07,8.15786289133508,"+","+","+"
"PEBP4",1.021264452009,12.9011343181561,7.64567241963595,5.12271155775953e-08,6.66651054084797e-07,7.53377195559767,3.58485350975394e-08,"PEBP4",2.27824812324272e-07,7.33102542744682e-07,7.2905000970614,"+","+","+"
"TIGAR",1.01750238330765,10.4835247606677,5.52636739983074,1.25060174550056e-05,7.33976943190888e-05,2.0346130937917,1.02637704031042e-05,"TIGAR",2.50833113227984e-05,0.000133568975745852,4.90288096949772,"+","+","+"
"AKAP12",0.995470022790954,12.3377949074989,4.54010928548958,0.000176112623646144,0.000739311497798988,-0.537438055995817,0.000183145802928605,"AKAP12",0.000252656171775596,0.00169691402519287,3.75420951295169,"+","+","+"
"ADGRE5",0.991701975198033,10.3827380273908,3.85474717470267,0.00172227280825553,0.00537283388565088,-2.24027131301173,0.00181566967232665,"ADGRE5",0.00183614030780817,0.011526080425435,2.7638980551263,"+","+","+"
"APIP",0.991183423827625,15.6726485652061,13.4845960658148,5.1961433779087e-13,2.70482881653684e-11,19.3291687739701,6.66786439860456e-13,"APIP",9.24362323768865e-12,2.38626197165061e-11,12.2843188738855,"+","+","+"
"NISCH",0.989403140319443,12.6779190414967,5.67372110869361,4.26729474551847e-05,0.000213588546440898,1.48408672696159,4.74743798421978e-05,"NISCH",7.29928651718925e-05,0.000522407372303904,4.36984735903162,"+","+","+"
"PHKA1",0.985795069139103,14.4937022069304,11.5974078961227,1.38501899835917e-11,5.01937897759786e-10,15.9557654650491,1.97560720461597e-11,"PHKA1",1.71534878186838e-10,6.14800372479949e-10,10.8585442693245,"+","+","+"
"ENO2",0.96693526893937,19.5627819259319,10.0720755823649,2.61655154421574e-10,6.62936908945987e-09,12.9380276889997,5.42705844100985e-10,"ENO2",2.26555520970107e-09,1.49400656890492e-08,9.58227070554577,"+","+","+"
"JPH1",0.962183016988092,12.6822319060949,10.1719599980672,2.14020065434982e-10,5.62146281963628e-09,13.1442711267381,4.96738167334883e-10,"JPH1",1.92110805799251e-09,1.38073919716483e-08,9.6695455074958,"+","+","+"
"GLRX",0.955196435418767,12.5871925457694,8.47361572593026,7.75721507653891e-09,1.31413649491899e-07,9.46376829502517,1.79091890681973e-08,"GLRX",4.49099867897775e-08,3.97472932575573e-07,8.11029416714043,"+","+","+"
"SLC16A3",0.950343061987153,11.8216107559546,8.58237120430261,8.49492766063679e-09,1.41401034258158e-07,9.42640480008347,2.13763180321523e-08,"SLC16A3",4.83231278116677e-08,4.63639382773122e-07,8.07084031505509,"+","+","+"
"UBE2K",0.946805494929112,11.9697893965234,4.63424318243428,0.000157519919850148,0.000668117823008852,-0.345428461152799,0.000250966838125684,"UBE2K",0.000228326073595514,0.00224536892985573,3.80266451784916,"+","+","+"
"CASQ1",0.934943178112402,18.2091220450017,17.3764401237383,1.61401697084217e-15,1.54031019584038e-13,25.2583990916853,1.4799075477574e-14,"CASQ1",5.26393649478666e-14,6.41965955943855e-13,14.7920919031305,"+","+","+"
"GAPDH",0.933162604137387,20.4207146081436,12.8614337657319,1.47637211667956e-12,6.60445839070874e-11,18.256096614959,9.11876399445065e-12,"GAPDH",2.25704209743181e-11,2.96670696774003e-10,11.8308041656483,"+","+","+"
"CMBL",0.930325469150752,18.0592042951271,11.2710110104187,2.53902575033395e-11,8.45259386419313e-10,15.3331603372173,1.38960687487365e-10,"CMBL",2.88863356468667e-10,4.01863079066997e-09,10.5953328945689,"+","+","+"
"CCDC25",0.927747033987265,11.0666887335745,7.32422272878785,1.09226654224372e-07,1.25588719294931e-06,6.76101916298741,3.47800366732175e-07,"CCDC25",4.2919344727795e-07,6.07166128020864e-06,6.96167136923156,"+","+","+"
"PPP3R1",0.926398059882759,12.8696691159698,8.41168881033595,1.22728247294002e-08,1.97399422473442e-07,9.04927214806201,4.69043976226354e-08,"PPP3R1",6.74603094113028e-08,9.19775961600034e-07,7.91105546798174,"+","+","+"
"MUSTN1",0.922387852810809,15.1910364054791,6.74730154435872,4.39264939047614e-07,4.15054627225518e-06,5.3432736496843,1.36813257624515e-06,"MUSTN1",1.41842935629629e-06,2.16406826839218e-05,6.35727345957514,"+","+","+"
"PNN",0.911640460966034,9.95684663370247,2.82698919838999,0.0141507135118807,0.0325148417211191,-4.31106007549433,0.0206145904989553,"PNN",0.0111117917949397,0.0922180821851706,1.84922166144993,"+","","+"
"LAMP1",0.904223281873829,10.6529593241614,6.47573686595821,1.39232495198753e-05,8.09491941402239e-05,2.62041204391437,4.06309702621613e-05,"LAMP1",2.76640003039007e-05,0.000456182226904187,4.85625939375896,"+","+","+"
"ALDH1L1",0.896075700472334,14.7747203581337,12.6825400383074,2.00648030078997e-12,8.83777400178719e-11,17.9408328727533,3.29682700892434e-11,"ALDH1L1",3.0202670362318e-11,1.01492642220972e-09,11.6975650997229,"+","+","+"
"SUB1",0.887049883186512,12.2425325816589,8.21386130087716,1.88905827410743e-08,2.8190148930199e-07,8.60738598585517,1.40813516677608e-07,"SUB1",9.63384869800105e-08,2.56782865126109e-06,7.7237546446547,"+","+","+"
"PACSIN3",0.884762375233677,15.13977850521,14.5240259739728,9.86117483304543e-14,6.56570780163002e-12,21.0366842884619,3.10969236660373e-12,"PACSIN3",2.24379926877322e-12,1.0857377128764e-10,13.0060713413352,"+","+","+"
"PPP1R3D",0.883099887719695,10.9378392822057,5.31702028768644,2.78759967301927e-05,0.000147521217446472,1.33900860275038,9.4991223609518e-05,"PPP1R3D",5.04146711726576e-05,0.000960988951215725,4.55476959509415,"+","+","+"
"MAPKAPK3",0.881393643301113,11.7430600411977,4.35595693197376,0.000553391201315413,0.00201461782217857,-1.13195612224276,0.00134688131630622,"MAPKAPK3",0.000688486014430849,0.00896772374089468,3.25696775023761,"+","+","+"
"HDHD3",0.879023999526758,11.9570240558754,4.48336132326578,0.000224051977546889,0.000912462036581427,-0.724668852565951,0.000619254240220092,"HDHD3",0.000311829541052138,0.00472779970600033,3.64965121852661,"+","+","+"
"LRRFIP2",0.874621597700283,11.8268848164327,7.36251681950547,1.2825108436516e-07,1.44560178951753e-06,6.64788333884338,9.37910376339673e-07,"LRRFIP2",4.94027504155976e-07,1.5344213756917e-05,6.89193895423319,"+","+","+"
"EPB42",0.869457479340598,10.2553199337755,4.08025423356179,0.000490820076831647,0.00180156138457565,-1.59712212669525,0.00132708170051957,"EPB42",0.000615674994911797,0.00887718436585868,3.30907768091067,"+","+","+"
"FBN1",0.867129833192832,12.53516263252,2.32123136982853,0.0290355992961836,0.0597190522880559,-5.59550224236412,0.0464687977075248,"FBN1",0.0204087007683319,0.177778263506282,1.53706920567889,"+","","+"
"SYNGR1",0.860690062782012,11.1849383652542,8.40822069718523,1.13087120133732e-07,1.28991404359711e-06,7.17338816888498,1.04988498149637e-06,"SYNGR1",4.40821960898862e-07,1.68866331574388e-05,6.94658685549343,"+","+","+"
"YBX1",0.860682432383635,8.62401714717815,3.05235625256966,0.00651598875789795,0.0168673379872168,-4.02625022071649,0.0131380608812475,"YBX1",0.00576433216118329,0.0641881711655487,2.18601967365559,"+","","+"
"PYGM",0.858106194947119,20.466231724102,10.9759220461134,4.43769674401236e-11,1.39616766792389e-09,14.7596599200915,1.30665766104229e-09,"PYGM",4.77133629308739e-10,3.37023503023791e-08,10.3528423791887,"+","+","+"
"MYBPH",0.852276665540199,15.0394687569055,2.95462481505763,0.00670863736932856,0.0173034493589078,-4.25268359175477,0.0140504794054404,"MYBPH",0.00591337113862011,0.0676076009038248,2.17336568297224,"+","","+"
"DDAH1",0.847987861557396,15.1149863494417,6.75027237001922,4.36082917726743e-07,4.13412381937637e-06,5.35067031407734,4.04046901957385e-06,"DDAH1",1.41281706149514e-06,5.81299638343715e-05,6.36043092520989,"+","+","+"
"PPP3CB",0.846718956040956,14.4170882434563,14.2054741659359,1.6244189688108e-13,1.0110242408055e-11,20.5239030886375,1.48270791627272e-11,"PPP3CB",3.45512703393257e-12,4.66482721350418e-10,12.7893019477699,"+","+","+"
"LCN1",0.841741951348659,11.5624457463383,2.29559138717123,0.0402921233295036,0.0781017935628767,-5.36628177606441,0.0669815651203689,"LCN1",0.0266909147621149,0.237925832431286,1.39477984539424,"","","+"
"PRR33",0.835678097092103,13.334434255219,9.714047793284,5.43260315062926e-10,1.24428342562013e-08,12.1884454962557,1.80904387554756e-08,"PRR33",4.2522791523862e-09,3.97882707931965e-07,9.26499201883647,"+","+","+"
"PKM",0.835449271843185,19.2402203581735,11.4530192353517,1.80822605624921e-11,6.16303714171604e-10,15.6818458042684,1.05920399442294e-09,"PKM",2.10618849479892e-10,2.782111042232e-08,10.7427472769333,"+","+","+"
"PFKL",0.833968912759719,16.0815848447854,6.87963974469645,3.18066058355628e-07,3.12928908959507e-06,5.67183286327925,3.81330409170428e-06,"PFKL",1.06941959391952e-06,5.57014776252518e-05,6.4974826730974,"+","+","+"
"ABRA",0.831092020233726,10.9574947004934,4.42649899386532,0.00021015923478204,0.000864491220087617,-0.761569580493143,0.000878414276659274,"ABRA",0.000295435743730767,0.00628725018518876,3.67745152154356,"+","+","+"
