"","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","protein","q","qiao","-log10p","regulated_xiao","regulated_qiao","regulated_q"
"LDAF1",1.33155655234526,9.99931958822691,3.54229632124211,0.00606955425903801,0.102931020747946,-2.03606231489099,0.00111724368629406,"LDAF1",0.0731061995014459,0.242616984180925,2.21684320183219,"+","",""
"THY1",1.33001679833143,11.7986062194964,8.53031312242225,1.30395085625422e-08,1.8685615770123e-05,9.68329965597197,3.25960501483639e-11,"THY1",1.32713573067838e-05,4.67101398626055e-08,7.88473877613461,"+","+","+"
"S100A13",1.32628039363637,15.0749143905676,8.70632607240181,4.53139980898566e-09,1.29869918525529e-05,10.692105025451,8.58666657256075e-12,"S100A13",9.22394056133293e-06,2.46093863969591e-08,8.343767617985,"+","+","+"
"S100A6",1.262851213009,13.2129084361571,5.96991109267808,3.01129705950343e-06,0.00095893081917076,4.65349894135758,1.06533767664871e-07,"S100A6",0.000681075415991939,0.00010177525937584,5.52124639993741,"+","+","+"
"COL3A1",1.15630728029932,11.7368857134655,2.2738836569009,0.0360557345460394,0.235244568206425,-3.871594149852,0.0214495869031448,"COL3A1",0.167081179317592,0.999999931656946,1.44302565234152,"+","",""
"KRT6A",1.06816284586808,15.0822548951558,2.02522159752129,0.0535569512648586,0.283723146626774,-4.42486189705633,0.0438700689801193,"KRT6A",0.201512826840287,0.999999931656946,1.27118415321592,"+","",""
"ACHE",1.01939339435686,11.9942492466686,1.5549061287476,0.16269375380626,0.4901853549731,-4.65126612401276,0.15706401105508,"ACHE",0.348151491095219,0.999999931656946,0.788629120324032,"","",""
"S100A4",0.898370422008117,13.8147642284046,5.62182484269987,7.3152407809258e-06,0.00174712333984445,3.81652775117189,2.43318372519579e-05,"S100A4",0.00124088488104155,0.0116225075940186,5.13577137451387,"+","+","+"
"UCHL1",0.807568832765325,14.2625723695519,3.84304594660101,0.000732464372663929,0.0446647423841451,-0.526535827805223,0.00293832139650078,"UCHL1",0.031722891152628,0.44322258538796,3.13521349470321,"+","","+"
"XPO4",0.796215040467183,13.2222653213871,1.48767362669831,0.153070849019277,0.481317453248874,-5.14862595017064,0.22438774895952,"XPO4",0.341853111968115,0.999999931656946,0.815107508945736,"","",""
"ALDH1B1",0.793332064631569,15.1653816314595,4.61850596938291,9.83799578554664e-05,0.0128162254188076,1.3620640745192,0.000662284125356575,"ALDH1B1",0.00910265462748305,0.189810630327194,4.00709336782205,"+","","+"
"KRT6B",0.780120143247782,15.3857415661841,1.47322662898826,0.153068498112801,0.481317453248874,-5.28717265272808,0.231266650220155,"KRT6B",0.341853111968115,0.999999931656946,0.815114179017516,"","",""
"FKBP9",0.778587363371408,10.3415326207569,1.74855336106988,0.122623561261258,0.426501487866236,-4.29069037965676,0.195152974548263,"FKBP9",0.302920369710165,0.999999931656946,0.911426075146853,"","",""
"MPO",0.749621436912674,11.8940589545733,1.11654754791804,0.292477555728642,0.627425654729257,-5.2034892575426,0.397897789191543,"MPO",0.445625670023072,0.999999931656946,0.533907455384169,"","",""
"HSPB6",0.74422736979653,17.6233701811916,6.89622077610457,3.00905435428659e-07,0.000215598744484634,6.81561103874313,1.4011000104447e-05,"HSPB6",0.000153127839518383,0.00803110525986899,6.52156996727703,"+","+","+"
"COL1A1",0.741160991901634,11.6576346714652,1.65435952995092,0.11096486643781,0.407202698093168,-5.01023669223833,0.196032795974951,"COL1A1",0.28921350889178,0.999999931656946,0.954814505244585,"","",""
"POSTN",0.677990046886606,10.112849561191,1.95774877006402,0.065765633266783,0.317216487153934,-4.42321160873324,0.157984722219,"POSTN",0.225301290383697,0.999999931656946,1.18200099364476,"","",""
"MRPS11",0.662491465295188,11.0165710865798,4.10932726709869,0.00119303063452734,0.0495539970805123,-0.676739345857103,0.0115692879913768,"MRPS11",0.0351954577962764,0.999999931656946,2.92334840441401,"+","","+"
"CHD2",0.66163073467005,12.3139598206364,0.966051894960129,0.348213322324439,0.67522285641532,-5.65745001239187,0.497589060748319,"CHD2",0.479573373413956,0.999999931656946,0.458154617189656,"","",""
"CES2",0.649074772549119,13.7168626154137,4.15208023760019,0.00033043588806358,0.0286978562178854,0.220464098597192,0.00550335238540513,"CES2",0.020382496808868,0.685765562459613,3.48091279082634,"+","","+"
"MYBPH",0.644814295379424,15.7880142373653,2.87619702609627,0.00807423662098096,0.118822873300491,-2.74771733687245,0.0447166345868994,"MYBPH",0.0843933016278189,0.999999931656946,2.09289852744483,"+","",""
"NES",0.644601997052982,12.8329595397643,2.75060970535888,0.0108527831840434,0.135857779527998,-3.01603837187903,0.0541633960962705,"NES",0.0964922514303875,0.999999931656946,1.96445887320059,"","",""
"SMARCC2",0.639780878210411,9.98421587078616,2.76060148517328,0.0110767677343935,0.135857779527998,-2.98717062453596,0.0560857927985752,"SMARCC2",0.0964922514303875,0.999999931656946,1.95558695079071,"","",""
"SERPINH1",0.633803815285081,11.7362887299069,4.91221310109883,4.58094347085011e-05,0.00729387999303135,2.08379855501154,0.00177785640865315,"SERPINH1",0.00518043872523039,0.318458529199995,4.33904506741391,"+","","+"
"OSBPL11",0.628439659324343,12.0354090202693,1.73874266155583,0.098084215354414,0.38538295305992,-4.73731147922457,0.23242395975622,"OSBPL11",0.273716153265846,0.999999931656946,1.00840087779893,"","",""
"KRT16",0.623639566585167,15.8683436940633,1.13232957969905,0.268152588778817,0.6027649564236,-5.70514332265098,0.440064559860432,"KRT16",0.428110542736099,0.999999931656946,0.571618005947126,"","",""
"XPO7",0.603758859796054,9.30868182420545,2.53057880231985,0.0261040984267925,0.20082755500872,-3.34149606456954,0.110681197419438,"XPO7",0.142636682267119,0.999999931656946,1.5832913016883,"","",""
"FCGRT",0.600915962517563,10.2292492261533,4.92964706259658,6.09376123103502e-05,0.00919195773060335,1.87123125612588,0.00293136820601483,"FCGRT",0.00652853814894042,0.44322258538796,4.21511456653531,"+","","+"
"WDR82",0.600259203844832,9.11931619220765,3.15143852146297,0.00546296849018031,0.0966473314373875,-2.21357668750691,0.043840020661182,"WDR82",0.0686432432322399,0.999999931656946,2.26257130444245,"+","",""
"CARNS1",0.594319489051038,12.1000442334116,7.59984317076533,5.59841376298893e-08,5.34835128157542e-05,8.38096872465012,4.89816817119005e-05,"CARNS1",3.79863750454906e-05,0.0200544999694724,7.25193500720205,"+","+","+"
