"","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","protein","q","qiao","-log10p","regulated_xiao","regulated_qiao","regulated_q"
"MYH7B",2.57743858372107,13.2368558182676,2.04190670892187,0.0612576112796057,0.440778451087088,-3.96259294715037,0.000748134248653159,"MYH7B",0.373503169077539,0.306841918269031,1.21283994236968,"+","",""
"ANKRD1",1.33582992821301,12.2874806229971,1.26099696237688,0.245289971829471,0.65877222555885,-4.73738884516532,0.153008656616442,"ANKRD1",0.558224916258167,0.999999955750193,0.610320206657656,"","",""
"FTL",1.07175950446374,12.5460195725785,4.4595789753895,0.000157920854154285,0.056673846534619,0.954414890167677,8.42638669670108e-05,"FTL",0.0480238115821865,0.120960781031144,3.80156051567818,"+","","+"
"RALB",1.04857990643742,10.2092223249967,2.29815694468703,0.05287913977239,0.41828501714712,-3.77203096496872,0.0458417993825689,"RALB",0.354442870555018,0.999999955750193,1.27671561848352,"+","",""
"MYL6B",0.953872345752799,17.1238333736524,3.28380429306166,0.00308099090974195,0.19349761805235,-1.66878933430887,0.00402282589583004,"MYL6B",0.16396439838033,0.76996887646187,2.51130958303805,"+","",""
"NGRN",0.928554626433121,12.2499381320399,1.36305750817971,0.204408258548059,0.6210117569222,-4.7159072509477,0.228960273361755,"NGRN",0.526227765156841,0.999999955750193,0.689501561720321,"","",""
"C4orf54",0.892513342782994,10.7222842532495,2.17026279578449,0.0517871443507244,0.416403220490091,-3.7611881403463,0.0711911398977196,"C4orf54",0.352848289392473,0.999999955750193,1.28577803620967,"","",""
"FTH1",0.857121946300268,15.2874008072524,4.69953299378536,8.5298054088179e-05,0.0349843876124517,1.49831685771328,0.000325325886636546,"FTH1",0.0296447787074464,0.156044393713309,4.06906087631672,"+","","+"
"IGFN1",0.841890755110731,11.7000596293088,2.11356588459301,0.0511843753550251,0.413944624350076,-3.8755013751798,0.0818907252431269,"IGFN1",0.350764944692856,0.999999955750193,1.29086259239715,"","",""
"UQCC3",0.813096772462076,12.1024200938383,2.43465364918011,0.0225559989276897,0.315247803164255,-3.39187909671614,0.0458186933805074,"UQCC3",0.267132055199581,0.999999955750193,1.64673793473001,"+","",""
"FDX2",0.708930773832067,10.8959767840072,1.367503763644,0.188809510681047,0.608632683847591,-4.91291913966084,0.306726316801287,"FDX2",0.515738089420185,0.999999955750193,0.72397613327806,"","",""
