"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0042776","GO:0042776","proton motive force-driven mitochondrial ATP synthesis",51,-0.841038821644879,-2.5321736272973,1.28650221223632e-13,1.30479120907432e-10,1.22068286346682e-10,470,"tags=96%, list=16%, signal=82%","ATP5F1C/SDHA/NDUFC2/NDUFB4/NDUFB11/ATP5PO/NDUFS4/NDUFA13/SDHB/NDUFAB1/NDUFB9/ATP5F1D/NDUFV2/NDUFS8/NDUFA12/NDUFB1/SDHC/NDUFB8/NDUFV3/NDUFS3/ATP5PB/NDUFA10/NDUFS5/NDUFB6/NDUFS1/NDUFA3/NDUFA2/NDUFS2/ATP5F1B/NDUFA5/NDUFA8/ATP5PF/NDUFS7/NDUFB10/ATP5MF/NDUFV1/NDUFS6/ATP5F1A/NDUFA1/ATP5PD/ATP5ME/NDUFA9/NDUFB3/NDUFA11/NDUFA7/NDUFC1/NDUFA6/NDUFB7/ATP5MG"
"GO:0015986","GO:0015986","proton motive force-driven ATP synthesis",54,-0.828527809213542,-2.51346923216821,1.9882532709704e-13,1.30479120907432e-10,1.22068286346682e-10,470,"tags=93%, list=16%, signal=79%","ATP5F1C/SDHA/NDUFC2/NDUFB4/NDUFB11/ATP5PO/NDUFS4/NDUFA13/SDHB/NDUFAB1/NDUFB9/ATP5F1D/NDUFV2/NDUFS8/NDUFA12/NDUFB1/SDHC/NDUFB8/ATP5MK/NDUFV3/NDUFS3/ATP5PB/NDUFA10/NDUFS5/NDUFB6/NDUFS1/NDUFA3/NDUFA2/NDUFS2/ATP5F1B/NDUFA5/NDUFA8/ATP5PF/NDUFS7/NDUFB10/ATP5MF/NDUFV1/NDUFS6/ATP5F1A/NDUFA1/ATP5PD/ATP5ME/NDUFA9/NDUFB3/NDUFA11/NDUFA7/NDUFC1/NDUFA6/NDUFB7/ATP5MG"
"GO:0009201","GO:0009201","ribonucleoside triphosphate biosynthetic process",66,-0.791165351937031,-2.46153623782609,1.90114626438846e-13,1.30479120907432e-10,1.22068286346682e-10,470,"tags=80%, list=16%, signal=69%","ATP5F1C/SDHA/NDUFC2/NDUFB4/NDUFB11/ATP5PO/NDUFS4/NDUFA13/SDHB/NDUFAB1/COX11/NDUFB9/ATP5F1D/NDUFV2/NDUFS8/NDUFA12/NDUFB1/SDHC/NDUFB8/ATP5MK/NDUFV3/NDUFS3/ATP5PB/NDUFA10/NDUFS5/NDUFB6/NDUFS1/NDUFA3/NDUFA2/NDUFS2/ATP5F1B/NDUFA5/NDUFA8/ATP5PF/DMAC2L/NDUFS7/NDUFB10/ATP5MF/NDUFV1/NDUFS6/ATP5F1A/NDUFA1/ATP5PD/ATP5ME/NDUFA9/NDUFB3/NDUFA11/NDUFA7/NDUFC1/NDUFA6/NDUFB7/ATP5MG/UQCC3"
"GO:0009206","GO:0009206","purine ribonucleoside triphosphate biosynthetic process",66,-0.791165351937031,-2.46153623782609,1.90114626438846e-13,1.30479120907432e-10,1.22068286346682e-10,470,"tags=80%, list=16%, signal=69%","ATP5F1C/SDHA/NDUFC2/NDUFB4/NDUFB11/ATP5PO/NDUFS4/NDUFA13/SDHB/NDUFAB1/COX11/NDUFB9/ATP5F1D/NDUFV2/NDUFS8/NDUFA12/NDUFB1/SDHC/NDUFB8/ATP5MK/NDUFV3/NDUFS3/ATP5PB/NDUFA10/NDUFS5/NDUFB6/NDUFS1/NDUFA3/NDUFA2/NDUFS2/ATP5F1B/NDUFA5/NDUFA8/ATP5PF/DMAC2L/NDUFS7/NDUFB10/ATP5MF/NDUFV1/NDUFS6/ATP5F1A/NDUFA1/ATP5PD/ATP5ME/NDUFA9/NDUFB3/NDUFA11/NDUFA7/NDUFC1/NDUFA6/NDUFB7/ATP5MG/UQCC3"
"GO:0009060","GO:0009060","aerobic respiration",121,-0.678346348304975,-2.33444174343028,6.46880995204292e-12,2.42580373201609e-09,2.26943362678438e-09,611,"tags=74%, list=21%, signal=61%","PDHB/ACO1/SURF1/CYCS/UQCRH/PDHA1/COQ9/COX4I1/CS/COX6A2/ATP5F1C/SDHA/COX7A2L/FXN/NDUFC2/DLD/COX6B1/NDUFB4/UQCRFS1/NDUFB11/ATP5PO/CYC1/NDUFS4/PPIF/NDUFA13/SDHB/UQCRB/NDUFA4/NDUFAB1/NDUFB9/COX5A/ATP5F1D/NDUFV2/NDUFS8/UQCRC1/NDUFA12/NDUFB1/SDHC/NDUFB8/FH/COX5B/NDUFV3/SUCLA2/NDUFS3/NNT/ATP5PB/NDUFA10/OGDH/NDUFS5/NDUFB6/NDUFS1/DLST/NDUFA3/NDUFA2/NDUFS2/UQCRC2/ATP5F1B/NDUFA5/NDUFA8/ATP5PF/NDUFS7/NDUFB10/ATP5MF/NDUFV1/NDUFS6/ATP5F1A/NDUFA1/ATP5PD/MRPS36/IDH2/ACO2/ATP5ME/NDUFA9/NDUFB3/NDUFA11/ISCU/UQCR10/MDH1/NDUFA7/SUCLG1/COX7A1/COX7A2/SUCLG2/NDUFC1/AFG1L/NDUFA6/UQCC2/NDUFB7/ATP5MG/UQCC3"
"GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly",64,-0.761336695318207,-2.36911103206232,1.43833800770474e-10,2.69688376444639e-08,2.52303952780088e-08,531,"tags=80%, list=19%, signal=66%","SAMM50/TIMM21/BCS1L/TMEM186/NDUFAF4/PET117/NUBPL/NDUFC2/NDUFB4/UQCRFS1/NDUFB11/NDUFS4/NDUFA13/NDUFAB1/NDUFB9/UQCC1/NDUFS8/NDUFA12/TACO1/NDUFB1/NDUFB8/LYRM7/NDUFS3/NDUFA10/NDUFS5/NDUFB6/NDUFS1/NDUFA3/NDUFA2/NDUFS2/NDUFA5/NDUFA8/NDUFS7/NDUFB10/ACAD9/NDUFA1/TFAM/NDUFA9/NDUFB3/NDUFA11/TMEM126A/NDUFC1/NDUFA6/UQCC2/NDUFB7/COX20/DMAC1/CHCHD7/UQCC3/COA1/NDUFAF2"
"GO:0046034","GO:0046034","ATP metabolic process",81,-0.674810438348873,-2.18122021708199,3.12409063607189e-08,3.41697413320363e-06,3.19671204120865e-06,470,"tags=72%, list=16%, signal=62%","ATP5F1C/SDHA/NDUFC2/NDUFB4/DNM1L/NDUFB11/ATP5PO/NDUFS4/NDUFA13/SDHB/NDUFAB1/COX11/NDUFB9/ATP5F1D/NDUFV2/NDUFS8/NDUFA12/NDUFB1/SDHC/NDUFB8/MYH3/ATP5MK/NDUFV3/NDUFS3/ATP5PB/NDUFA10/NDUFS5/NDUFB6/NDUFS1/NDUFA3/NDUFA2/NDUFS2/ATP5F1B/NDUFA5/NDUFA8/ATP5PF/DMAC2L/NDUFS7/NDUFB10/ATP5MF/NDUFV1/NDUFS6/ATP5F1A/NDUFA1/ATP5PD/ATP5ME/NDUFA9/NDUFB3/NDUFA11/NDUFA7/NDUFC1/NDUFA6/NDUFB7/ATP5MG/UQCC3/ATP5IF1/MYH6/MYH7"
"GO:0006631","GO:0006631","fatty acid metabolic process",120,-0.610583668961007,-2.09980626300269,3.09750958139072e-08,3.41697413320363e-06,3.19671204120865e-06,401,"tags=45%, list=14%, signal=40%","PRKAA1/THNSL2/GPX1/FABP3/NDUFAB1/ACSL1/PCCB/ETFDH/SIRT2/MGLL/PCCA/ACSF2/ACADM/CPT2/ACADSB/PTGR3/HSD17B10/CYGB/MMUT/RGN/ACAA1/ECHS1/ACADVL/ACAD9/ECI1/MLYCD/PDK2/HADH/MGST3/OXSM/ABHD5/HADHA/ACOT2/HADHB/HSD17B8/ACAT1/GGT5/AUH/ACADS/ECH1/CRAT/DECR1/CPT1B/AKR1C2/ETFA/PLIN5/ECI2/ETFB/ACAA2/ACSS1/AKR1C3/HTD2/ACOT1/CES2"
"GO:0003229","GO:0003229","ventricular cardiac muscle tissue development",11,-0.947966384652739,-2.0658686623424,6.93584118078273e-08,6.27813210329471e-06,5.87343646996955e-06,15,"tags=55%, list=1%, signal=54%","MYL2/MYH6/MYH7/TNNC1/MYL3/TNNI1"
"GO:0043500","GO:0043500","muscle adaptation",34,-0.801534780308582,-2.22109942560633,1.11982185773933e-07,9.79844125521917e-06,9.16682243545918e-06,12,"tags=21%, list=0%, signal=21%","MYH6/MYH7/ATP2A2/TNNC1/MYOZ2/TNNT1/TNNI1"
