"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0019646","GO:0019646","aerobic electron transport chain",63,-0.753163266088467,-2.37630912404083,5.70556873468426e-10,7.46049818935906e-07,7.00052762430083e-07,603,"tags=86%, list=21%, signal=69%","UQCRFS1/NDUFS8/NDUFA5/UQCR10/NDUFS7/NDUFB1/NDUFV3/NDUFS5/SDHC/CYC1/SDHA/UQCRH/NDUFV1/NDUFA7/UQCRC2/NDUFB8/NDUFB5/NDUFA10/UQCR11/COQ9/NDUFAB1/COX6B1/NDUFV2/COX7A1/ISCU/COX5A/NDUFB6/CYCS/SDHB/NDUFA3/NDUFS3/NDUFA8/NDUFS2/NDUFS1/COX5B/UQCRB/COX4I1/NDUFB4/NDUFC1/NDUFS6/NDUFB10/NDUFA1/UQCRC1/NDUFA6/COX7A2/NDUFA9/NDUFB9/COX7A2L/NDUFC2/NDUFB7/NDUFA2/NDUFB3/COX6C/UQCC3"
"GO:0042773","GO:0042773","ATP synthesis coupled electron transport",67,-0.747253499299305,-2.37447371911432,1.1368378193309e-09,7.46049818935906e-07,7.00052762430083e-07,603,"tags=84%, list=21%, signal=68%","UQCRFS1/NDUFS8/NDUFA12/NDUFA5/UQCR10/NDUFS7/NDUFB1/NDUFV3/GHITM/NDUFS5/SDHC/CYC1/SDHA/UQCRH/NDUFV1/NDUFA7/UQCRC2/NDUFB8/NDUFB5/NDUFA10/UQCR11/COQ9/NDUFAB1/COX6B1/NDUFV2/COX7A1/ISCU/COX5A/NDUFB6/CYCS/SDHB/NDUFA3/NDUFS3/NDUFA8/NDUFS2/NDUFS1/COX5B/UQCRB/COX4I1/NDUFB4/NDUFC1/NDUFS6/NDUFB10/NDUFA1/UQCRC1/NDUFA6/COX7A2/NDUFA9/NDUFB9/COX7A2L/NDUFC2/NDUFB7/NDUFA2/NDUFB3/COX6C/UQCC3"
"GO:0042775","GO:0042775","mitochondrial ATP synthesis coupled electron transport",67,-0.747253499299305,-2.37447371911432,1.1368378193309e-09,7.46049818935906e-07,7.00052762430083e-07,603,"tags=84%, list=21%, signal=68%","UQCRFS1/NDUFS8/NDUFA12/NDUFA5/UQCR10/NDUFS7/NDUFB1/NDUFV3/GHITM/NDUFS5/SDHC/CYC1/SDHA/UQCRH/NDUFV1/NDUFA7/UQCRC2/NDUFB8/NDUFB5/NDUFA10/UQCR11/COQ9/NDUFAB1/COX6B1/NDUFV2/COX7A1/ISCU/COX5A/NDUFB6/CYCS/SDHB/NDUFA3/NDUFS3/NDUFA8/NDUFS2/NDUFS1/COX5B/UQCRB/COX4I1/NDUFB4/NDUFC1/NDUFS6/NDUFB10/NDUFA1/UQCRC1/NDUFA6/COX7A2/NDUFA9/NDUFB9/COX7A2L/NDUFC2/NDUFB7/NDUFA2/NDUFB3/COX6C/UQCC3"
"GO:0009060","GO:0009060","aerobic respiration",121,-0.64757259788666,-2.26031400281888,9.47761218898749e-10,7.46049818935906e-07,7.00052762430083e-07,603,"tags=71%, list=21%, signal=59%","UQCRFS1/NDUFS8/NDUFA12/NDUFA5/UQCR10/NDUFS7/NDUFB1/FH/NDUFV3/CS/ATP5PO/GHITM/NDUFS5/SDHC/CYC1/SDHA/UQCRH/NDUFV1/SIRT3/ATP5F1B/NDUFA7/SUCLA2/UQCRC2/ATP5F1C/NDUFB8/NDUFB5/CAT/NDUFA10/DLST/UQCR11/COQ9/NDUFAB1/FXN/COX6B1/NDUFV2/COX7A1/ISCU/COX5A/NDUFB6/CYCS/SDHB/ACO2/NDUFA3/NDUFS3/NDUFA8/NDUFS2/NDUFS1/COX5B/MRPS36/UQCRB/OGDH/COX4I1/ATP5PF/NDUFB4/NDUFC1/NDUFA13/IDH2/NDUFS6/NDUFB10/NDUFA11/PPIF/NNT/NDUFA1/UQCRC1/SUCLG1/NDUFA6/ATP5MF/ATP5F1A/DHTKD1/COX7A2/NDUFA9/NDUFB9/COX7A2L/NDUFC2/ATP5PD/ATP5PB/NDUFB7/NDUFA2/SUCLG2/ATP5ME/ATP5MG/NDUFB3/MDH1/COX6C/UQCC2/UQCC3"
"GO:0042776","GO:0042776","proton motive force-driven mitochondrial ATP synthesis",51,-0.773263614639956,-2.3434562844053,2.51057543094987e-09,1.31805210124868e-06,1.23678873861531e-06,601,"tags=92%, list=21%, signal=74%","NDUFS8/NDUFA12/NDUFA5/NDUFS7/NDUFB1/NDUFV3/ATP5PO/NDUFS5/SDHC/SDHA/NDUFV1/ATP5F1B/NDUFA7/ATP5F1C/NDUFB8/NDUFB5/NDUFA10/NDUFAB1/NDUFV2/NDUFB6/SDHB/NDUFA3/NDUFS3/NDUFA8/NDUFS2/NDUFS1/ATP5PF/NDUFB4/NDUFC1/NDUFA13/NDUFS6/NDUFB10/NDUFA11/NDUFA1/NDUFA6/ATP5MF/ATP5F1A/NDUFA9/NDUFB9/NDUFC2/ATP5PD/ATP5PB/NDUFB7/NDUFA2/ATP5ME/ATP5MG/NDUFB3"
"GO:0033108","GO:0033108","mitochondrial respiratory chain complex assembly",64,-0.735279584275482,-2.32632529436884,9.8833601864179e-09,3.24297756116838e-06,3.04303458371288e-06,603,"tags=78%, list=21%, signal=63%","UQCRFS1/NDUFS8/DMAC1/NDUFA12/NDUFA5/NDUFS7/NDUFB1/LYRM7/NDUFS5/SAMM50/TMEM223/BCS1L/TACO1/NDUFB8/NDUFB5/NDUFA10/PET117/NDUFAB1/TMEM186/NDUFB6/NDUFAF3/NDUFA3/NDUFS3/NDUFA8/NDUFS2/NDUFS1/COA3/NDUFB4/NDUFC1/NDUFA13/NDUFB10/NDUFA11/NDUFA1/TFAM/NDUFA6/NDUFA9/NDUFB9/NDUFC2/NDUFB7/UQCC1/NDUFA2/NDUFB3/TMEM126A/ACAD9/UQCC2/COX20/CHCHD7/COA1/UQCC3/NDUFAF2"
"GO:0006629","GO:0006629","lipid metabolic process",265,-0.491642188581022,-1.88511576043631,7.23488906690053e-08,1.35654170004385e-05,1.27290529447724e-05,528,"tags=35%, list=18%, signal=31%","PRKAA1/DBI/MECR/CYGB/PTGR3/MGST3/IGFBP7/ABHD16A/HADH/LACTB/SIRT3/HSD17B8/ATP5F1B/PHB2/ALDH1A2/FMC1/HSD17B4/PDK4/CAT/RDH13/THNSL2/NDUFAB1/HSD17B10/HINT2/IVD/ADHFE1/MMUT/H6PD/SIRT2/ACSF2/ACAA1/MLYCD/PCCB/ETFDH/ACSL1/SCCPDH/MCEE/GGT5/ECHDC1/ACADVL/ECHS1/INPP4B/MGLL/HDHD5/CD36/ACAT1/ECI1/ATP5F1A/HTD2/SULT1A3/CPT2/PDK2/ACADM/ABHD11/HADHB/PCCA/ACADSB/ACOT2/IDI1/HADHA/BCKDHB/DHRS11/AUH/ALDH1A1/DECR1/ACAD9/PPP2CA/CRAT/FABP3/ETFA/ABHD5/OXSM/ECH1/CPT1B/ACAA2/ETFB/ACADS/LSS/ECI2/AKR1C2/OXCT1/NEU3/ACOT1/BDH1/AKR1C3/PLIN5/CYB5R1/CES2/ACSS1/IDI2/LIPE/GDPD1"
"GO:0090075","GO:0090075","relaxation of muscle",14,0.918144433377025,2.24942686096702,6.5274696531577e-07,7.13941993314123e-05,6.69924517034606e-05,15,"tags=21%, list=1%, signal=21%","TNNI2/ATP2A1/ACTN3"
"GO:0003206","GO:0003206","cardiac chamber morphogenesis",13,-0.903883745387923,-2.0866397632277,5.15493779737407e-06,0.000422865991190842,0.000396794554139978,13,"tags=54%, list=0%, signal=54%","EGLN1/MYH6/MYH7/MYL2/MYL3/TNNC1/TNNI1"
"GO:0002026","GO:0002026","regulation of the force of heart contraction",15,-0.884591590237099,-2.11635064818526,1.09226994002558e-05,0.00059733512345149,0.000560506942907864,13,"tags=33%, list=0%, signal=33%","MYH6/MYH7/MYL2/ATP2A2/MYL3"
