"","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","protein","q","qiao","-log10p","regulated"
"FTL",1.10939758683956,12.7423568140788,5.72167967923978,7.01312069680557e-07,0.00101094134844452,5.81074948702641,1.48822591127995e-07,"FTL",0.000679372962286875,0.000429055530222009,6.15408868676704,"yes"
"ZC3H8",0.893262485564669,14.6402938871073,1.86153183929315,0.0739434966308234,0.313498677627447,-4.33872990849444,0.0976406783359279,"ZC3H8",0.210677430120432,0.99999999892378,1.13110001641416,"no"
"ALDH1A1",0.810739229065055,16.3811727325417,4.75874055500853,1.88145612563067e-05,0.00361615867346215,2.78288235048637,0.000147518669208633,"ALDH1A1",0.00243013151442402,0.0708827205547482,4.72550590469924,"yes"
"ANKRD1",0.729367210691553,11.996936548396,1.23214599653456,0.229754261522781,0.546970715086853,-5.14165276016331,0.342079143151471,"ANKRD1",0.367575345062778,0.99999999892378,0.638736424496087,"no"
"FTH1",0.698982087259189,15.4588795397311,4.96222317599554,9.4948777555115e-06,0.00316580266943928,3.41172937811393,0.000308570953082977,"FTH1",0.00212748320252397,0.101841956799491,5.02251062233808,"yes"
"TUBB4A",0.662971783972452,11.0471735571441,3.99529675540627,0.000235841334432632,0.0158123387713785,0.479372069021885,0.00393685445737379,"TUBB4A",0.0106262103615841,0.756663426707243,3.6273800764979,"yes"
"KIAA1191",0.64608702650103,10.4593461545497,2.75998477231259,0.00892336046616371,0.100501875046386,-2.69981546562429,0.0474092420312417,"KIAA1191",0.0675392857070336,0.99999999892378,2.04947156299251,"no"
"MICAL3",0.644818565132709,13.5463360818527,2.89749957679357,0.00831522986411336,0.0960454720412157,-2.47029799572093,0.0455718127829546,"MICAL3",0.0645444930660709,0.99999999892378,2.0801257407516,"no"
"GGT5",0.640477667402964,11.2601601898261,2.66091837788753,0.014564630756681,0.132043492048778,-2.90419720789986,0.0666245570245285,"GGT5",0.0887358880729412,0.99999999892378,1.83670052115431,"no"
"NDUFC1",0.639655013750732,14.1192421682783,2.55799603062647,0.0138003761751024,0.128343498428452,-3.1706158855571,0.064590984458906,"NDUFC1",0.086249417784481,0.99999999892378,1.86010907529843,"no"
"PANX1",0.636524847147628,10.1445707761887,2.58443030149382,0.014660479037577,0.132374690416506,-3.05546288747389,0.0680311384604075,"PANX1",0.0889584600515577,0.99999999892378,1.83385183870053,"no"
"MUSTN1",0.631334372438181,14.8890938795304,2.97291233889519,0.00463512676411862,0.0730222429560327,-2.21480795186314,0.0336127832524631,"MUSTN1",0.04907241907377,0.99999999892378,2.33393838402123,"yes"
"COX7C",0.62860336686883,15.4660768546265,3.5253980537213,0.000952722588528868,0.034548635959134,-0.799265067173707,0.0126173498941419,"COX7C",0.0232173797131176,0.99999999892378,3.0210335377769,"yes"
"SDHC",0.604559409201386,12.8020209070625,3.51913640282141,0.000970669272525095,0.034548635959134,-0.816105419105133,0.0150836203973054,"SDHC",0.0232173797131176,0.99999999892378,3.01292871817027,"yes"
"MYL6B",0.597111625883606,15.0134847699438,0.855327901464138,0.396694802314135,0.693526387737959,-5.79694777367465,0.5757496914963,"MYL6B",0.466063711002229,0.99999999892378,0.4015434898235,"no"
"LAP3",0.586111160772209,15.1017221066517,6.87029488894265,1.26566521404324e-08,3.64891281208667e-05,9.50018756819616,2.35007071278078e-05,"LAP3",2.45214295575911e-05,0.0169381346623675,7.89768115602603,"yes"
"PRR33",0.579477027688794,13.0651720031654,3.98848308565955,0.00023541246006282,0.0158123387713785,0.475302477661242,0.00789875259889735,"PRR33",0.0106262103615841,0.99999999892378,3.62817055426524,"yes"
"NCSTN",0.572196396606522,11.61353400771,2.89582283240288,0.00571532333795134,0.0811515855623136,-2.39993941313432,0.0520699104731846,"NCSTN",0.0545355011569904,0.99999999892378,2.24295919485473,"no"
"RBM3",0.57136985687171,13.2155283311526,3.85586001560067,0.000348454507603283,0.0205019254167401,0.112032221229734,0.0105751492303302,"RBM3",0.0137777071087123,0.99999999892378,3.4578539130796,"yes"
"GIGYF2",0.570112406063853,13.6722435477322,1.83225167673468,0.0732332286453938,0.311149240743291,-4.57130138359571,0.225297332474034,"GIGYF2",0.209098561179963,0.99999999892378,1.13529181862883,"no"
"IGFN1",0.567461647309988,12.4512468624097,1.41065564888294,0.167389601657082,0.466264948383931,-5.05937809270182,0.362656680617061,"IGFN1",0.313339443165046,0.99999999892378,0.776271524139735,"no"
"RRAD",0.565694141355998,11.6851893509728,2.76475473788167,0.0081042019876466,0.0942217938894337,-2.70699793057548,0.0656099405704491,"RRAD",0.0633189445907412,0.99999999892378,2.09128974323673,"no"
"AGPS",0.556994616301889,11.0585981772572,3.65718514798535,0.000702406301454978,0.0306823843499197,-0.487271831293617,0.017521315718836,"AGPS",0.0206191807050944,0.99999999892378,3.15341160092478,"yes"
"TAPT1",0.543982961038946,13.0984667822184,2.13274652258326,0.0406766817431475,0.230848176113177,-3.93242274576373,0.17518933207294,"TAPT1",0.155134627232173,0.99999999892378,1.39065448248034,"no"
"SPECC1",0.543840146269829,10.2019211471711,1.2936512185343,0.207538961371032,0.521197583303733,-5.10343345276415,0.425217733013148,"SPECC1",0.350255281031517,0.99999999892378,0.682900361023784,"no"
"DDT",0.543337234130895,16.450184607702,2.94677772679976,0.00497793386110977,0.0755335964293656,-2.27793784253133,0.0560687713846097,"DDT",0.0507600992256925,0.99999999892378,2.30295087790539,"no"
"MACF1",0.530930800126711,12.0836900178582,1.54167926162107,0.135638699199452,0.418635681771401,-4.79053463452455,0.346222859640025,"MACF1",0.281331616004852,0.99999999892378,0.867616383839461,"no"
"CES2",0.530382178652914,13.9123201326194,1.74407136448529,0.0876627379133141,0.340150300678445,-4.71494754277978,0.274971658207885,"CES2",0.228587857990228,0.99999999892378,1.05718496943297,"no"
"COX11",0.52952232904833,11.0339437840986,2.49146237318675,0.0173116479763246,0.143100678472782,-3.26612908421398,0.11672418576987,"COX11",0.0961665402141284,0.99999999892378,1.76166158764412,"no"
