"","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","protein","q","qiao","-log10p","regulated_xiao","regulated_qiao","regulated_q"
"THY1",1.3310997591756,11.9124495266371,12.8482882149927,1.41510461256744e-21,4.0556898196183e-18,38.2483740817601,1.76855941804088e-28,"THY1",2.01366839655845e-18,5.06869129210516e-25,20.849211453439,"+","+","+"
"S100A13",1.14033327057936,14.0543212545934,11.7679468300326,5.16944870776583e-20,7.40781999822843e-17,34.8510252964579,1.01601186855133e-22,"S100A13",3.67801623922762e-17,1.45594500763405e-19,19.2865557694672,"+","+","+"
"KRT71",0.999890677917342,12.0186018886493,4.24038351102753,5.32655510992426e-05,0.00106754594021279,1.49541446155054,5.33228825300871e-05,"KRT71",0.000530041402890888,0.00955146133320186,4.27355357529582,"+","+","+"
"KRT16",0.969946469066784,16.4739069639208,3.22587669078681,0.00174251186906634,0.0143506868297245,-1.75853886632927,0.00210905621222448,"KRT16",0.00712518112162817,0.18316833649198,2.75882425503629,"+","","+"
"GTPBP3",0.965122202198508,19.4192476548414,3.49305014989315,0.000977839447247372,0.00943668241349974,-0.842299246088404,0.00124520367274427,"GTPBP3",0.00468535563358535,0.123060473313279,3.00973244674461,"+","","+"
"MYBPH",0.931317736916826,15.3163799188372,5.62497103306976,2.0028593337281e-07,1.27559885565883e-05,6.82171960180356,5.77707831285804e-07,"MYBPH",6.33340619369176e-06,0.000236530092066445,6.69834955132095,"+","+","+"
"KRT6A",0.901291525572755,15.6894308147789,3.46152886872276,0.00081823016590622,0.0081708977543109,-1.06169885854985,0.00165044416945581,"KRT6A",0.00405688780729163,0.152586225472914,3.08712451329387,"+","","+"
"CALML5",0.899092454733458,9.37581279302943,2.4473723797773,0.0199662492398491,0.0809381475550319,-3.20259400133035,0.0296353047227322,"CALML5",0.0401861574864942,0.884029984401326,1.69970351186583,"+","","+"
"MYH7B",0.829074603323332,16.0660278708126,2.4966821851726,0.0148748146388599,0.0661975446505784,-3.54175816456855,0.0305369743390549,"MYH7B",0.0328673812646703,0.884029984401326,1.8275484374866,"+","","+"
"KRT14",0.827013515799772,17.4065096285131,3.57399829475192,0.000563540313394432,0.00614108949881537,-0.715869888463719,0.00205575356558905,"KRT14",0.0030490787989712,0.18316833649198,3.24907501083613,"+","","+"
"POSTN",0.788789123218011,10.1961474735635,3.46822705879546,0.000970904093974532,0.00943258011298647,-1.01519457355496,0.0042025942385393,"POSTN",0.00468331882276791,0.293771587503747,3.0128236676355,"+","","+"
"KRT5",0.73679574006305,17.0915773118617,3.46693562035774,0.000803834406585727,0.00806922560455795,-1.04526615685467,0.00524493280131557,"KRT5",0.00400640712364138,0.334043942412676,3.09483340860613,"+","","+"
"KRT6B",0.736466643110993,16.0990779531719,2.77794841767241,0.0066502061333873,0.0373715505456627,-2.97040501653458,0.0249224469284451,"KRT6B",0.0185551444048229,0.780040943758885,2.17716489286153,"+","","+"
"SERPINH1",0.692809385450612,11.7440268616866,11.2350819983047,6.45227769327247e-19,4.62305696722972e-16,32.4160452635507,2.49803475967392e-13,"SERPINH1",2.29536875955568e-16,2.38645587374182e-10,18.1902869497052,"+","+","+"
"S100A6",0.685139480429971,12.5418356423223,6.73061513936484,1.44467597638252e-09,1.97163873729157e-07,11.576197368931,8.77424425224586e-07,"S100A6",9.78927578610558e-08,0.000314337300336708,8.84022954906591,"+","+","+"
"KRT17",0.680613294038134,14.1306474126848,2.98431404103862,0.00366347041049541,0.0247629863124525,-2.42704869909482,0.0219762191783115,"KRT17",0.012294935056569,0.749807668631438,2.43610731186633,"+","","+"
"JUP",0.678650468651898,14.9227202906533,3.31977233970701,0.00129474337950127,0.0114176446943096,-1.48547205007995,0.0109693808187335,"JUP",0.00566891239385471,0.510379182723182,2.88781630101169,"+","","+"
"FLG2",0.647105891769566,11.2191948537932,2.74002631503616,0.00828741835269946,0.0430285163022403,-2.91030842993412,0.0449776583010519,"FLG2",0.0213638535692495,0.999999995552655,2.08158073721725,"+","","+"
"SBSN",0.646879948791921,11.945040580587,3.64359703353846,0.00044570813052339,0.00510959800832014,-0.497708612664656,0.00679732437801604,"SBSN",0.00253693859394815,0.405856909737374,3.35094944352379,"+","","+"
